Year,Units,Unit multiplier,Observation status,Value
2000,Percentage (%),Units,Normal value,48.2
2001,Percentage (%),Units,Normal value,49.4
2002,Percentage (%),Units,Normal value,48.6
2003,Percentage (%),Units,Normal value,48.4
2004,Percentage (%),Units,Normal value,49.2
2005,Percentage (%),Units,Normal value,49.3
2006,Percentage (%),Units,Normal value,49.6
2007,Percentage (%),Units,Normal value,50.4
2008,Percentage (%),Units,Normal value,49.8
2009,Percentage (%),Units,Normal value,50.5
2010,Percentage (%),Units,Normal value,49.9
2011,Percentage (%),Units,Normal value,49.4
2012,Percentage (%),Units,Normal value,48.9
2013,Percentage (%),Units,Normal value,48.9
2014,Percentage (%),Units,Normal value,48.0
2015,Percentage (%),Units,Normal value,48.1
2016,Percentage (%),Units,Normal value,48.0
2017,Percentage (%),Units,Normal value,47.8
2018,Percentage (%),Units,Normal value,48.3
2019,Percentage (%),Units,Normal value,48.7
2020,Percentage (%),Units,Normal value,51.9
2021,Percentage (%),Units,Normal value,51.1
2022,Percentage (%),Units,Normal value,50.1
