Year,Education category,Age,Sex,Region,Household income,Deprivation quantile,Employment status,Highest qualification,Disability status,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Formal,,,,,,,,,,Undefined,Units,Percentage (%),,10.4
2016,Formal,19 to 24,,,,,,,,,Undefined,Units,Percentage (%),,35.4
2016,Formal,25 to 34,,,,,,,,,Undefined,Units,Percentage (%),,17.4
2016,Formal,35 to 44,,,,,,,,,Undefined,Units,Percentage (%),,13.7
2016,Formal,45 to 54,,,,,,,,,Undefined,Units,Percentage (%),,10.4
2016,Formal,55 to 64,,,,,,,,,Undefined,Units,Percentage (%),,5.1
2016,Formal,65 and over,,,,,,,,,Undefined,Units,Percentage (%),,0.6
2016,Formal,,Male,,,,,,,,Undefined,Units,Percentage (%),,9.6
2016,Formal,,Female,,,,,,,,Undefined,Units,Percentage (%),,11.2
2016,Formal,,,North East,,,,,,,Undefined,Units,Percentage (%),E12000001,11.1
2016,Formal,,,North West,,,,,,,Undefined,Units,Percentage (%),E12000002,11.6
2016,Formal,,,Yorkshire and the Humber,,,,,,,Undefined,Units,Percentage (%),E12000003,9.1
2016,Formal,,,East Midlands,,,,,,,Undefined,Units,Percentage (%),E12000004,12.6
2016,Formal,,,West Midlands,,,,,,,Undefined,Units,Percentage (%),E12000005,9.0
2016,Formal,,,East of England,,,,,,,Undefined,Units,Percentage (%),E12000006,8.2
2016,Formal,,,London,,,,,,,Undefined,Units,Percentage (%),E12000007,10.2
2016,Formal,,,South East,,,,,,,Undefined,Units,Percentage (%),E12000008,9.8
2016,Formal,,,South West,,,,,,,Undefined,Units,Percentage (%),E12000009,13.0
2016,Formal,,,,"Less than £14,999",,,,,,Undefined,Units,Percentage (%),,5.9
2016,Formal,,,,"£15,000 to £29,999",,,,,,Undefined,Units,Percentage (%),,9.2
2016,Formal,,,,"£30,000 to £44,999",,,,,,Undefined,Units,Percentage (%),,13.3
2016,Formal,,,,"£45,000 or more",,,,,,Undefined,Units,Percentage (%),,13.6
2016,Formal,,,,,Quintile 1 (most deprived),,,,,Undefined,Units,Percentage (%),,10.6
2016,Formal,,,,,Quintile 2,,,,,Undefined,Units,Percentage (%),,12.5
2016,Formal,,,,,Quintile 3,,,,,Undefined,Units,Percentage (%),,10.4
2016,Formal,,,,,Quintile 4,,,,,Undefined,Units,Percentage (%),,10.4
2016,Formal,,,,,Quintile 5 (least deprived),,,,,Undefined,Units,Percentage (%),,8.4
2016,Formal,,,,,,Full-time,,,,Undefined,Units,Percentage (%),,14.5
2016,Formal,,,,,,Part-time,,,,Undefined,Units,Percentage (%),,14.0
2016,Formal,,,,,,Unemployed,,,,Undefined,Units,Percentage (%),,9.2
2016,Formal,,,,,,Mature student,,,,Undefined,Units,Percentage (%),,90.1
2016,Formal,,,,,,Retired,,,,Undefined,Units,Percentage (%),,0.7
2016,Formal,,,,,,Permanently disabled,,,,Undefined,Units,Percentage (%),,1.6
2016,Formal,,,,,,Fulfilling domestic tasks,,,,Undefined,Units,Percentage (%),,3.3
2016,Formal,,,,,,Other inactive,,,,Undefined,Units,Percentage (%),,8.3
2016,Formal,,,,,,,Degree or equivalent,,,Undefined,Units,Percentage (%),,16.1
2016,Formal,,,,,,,Higher Education,,,Undefined,Units,Percentage (%),,11.9
2016,Formal,,,,,,,A level or equivalent,,,Undefined,Units,Percentage (%),,15.4
2016,Formal,,,,,,,GCSE or equivalent,,,Undefined,Units,Percentage (%),,6.7
2016,Formal,,,,,,,Other qualification,,,Undefined,Units,Percentage (%),,8.6
2016,Formal,,,,,,,No qualification,,,Undefined,Units,Percentage (%),,1.0
2016,Formal,,,,,,,,Disability and/or work-limiting disabled,,Undefined,Units,Percentage (%),,7.5
2016,Formal,,,,,,,,No disability,,Undefined,Units,Percentage (%),,12.0
2016,Formal,,,,,,,,,Born in UK,Undefined,Units,Percentage (%),,10.0
2016,Formal,,,,,,,,,Not born in UK,Undefined,Units,Percentage (%),,13.3
2016,Non-formal learning,,,,,,,,,,Undefined,Units,Percentage (%),,42.3
