Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1981,,,,,Undefined,Units,"Rate per 100,000 population",,14.7
1982,,,,,Undefined,Units,"Rate per 100,000 population",,14.4
1983,,,,,Undefined,Units,"Rate per 100,000 population",,14.0
1984,,,,,Undefined,Units,"Rate per 100,000 population",,14.0
1985,,,,,Undefined,Units,"Rate per 100,000 population",,14.7
1986,,,,,Undefined,Units,"Rate per 100,000 population",,14.2
1987,,,,,Undefined,Units,"Rate per 100,000 population",,13.4
1988,,,,,Undefined,Units,"Rate per 100,000 population",,14.4
1989,,,,,Undefined,Units,"Rate per 100,000 population",,12.7
1990,,,,,Undefined,Units,"Rate per 100,000 population",,13.2
1991,,,,,Undefined,Units,"Rate per 100,000 population",,12.8
1992,,,,,Undefined,Units,"Rate per 100,000 population",,12.9
1993,,,,,Undefined,Units,"Rate per 100,000 population",,12.5
1994,,,,,Undefined,Units,"Rate per 100,000 population",,12.1
1995,,,,,Undefined,Units,"Rate per 100,000 population",,12.1
1996,,,,,Undefined,Units,"Rate per 100,000 population",,11.6
1997,,,,,Undefined,Units,"Rate per 100,000 population",,11.4
1998,,,,,Undefined,Units,"Rate per 100,000 population",,12.4
1999,,,,,Undefined,Units,"Rate per 100,000 population",,12.2
2000,,,,,Undefined,Units,"Rate per 100,000 population",,11.9
2001,,,,,Undefined,Units,"Rate per 100,000 population",,11.5
2002,,,,,Undefined,Units,"Rate per 100,000 population",,11.2
2003,,,,,Undefined,Units,"Rate per 100,000 population",,10.9
2004,,,,,Undefined,Units,"Rate per 100,000 population",,11.1
2005,,,,,Undefined,Units,"Rate per 100,000 population",,10.7
2006,,,,,Undefined,Units,"Rate per 100,000 population",,10.4
2007,,,,,Undefined,Units,"Rate per 100,000 population",,10.0
2008,,,,,Undefined,Units,"Rate per 100,000 population",,10.5
2009,,,,,Undefined,Units,"Rate per 100,000 population",,10.3
2010,,,,,Undefined,Units,"Rate per 100,000 population",,10.2
2011,,,,,Undefined,Units,"Rate per 100,000 population",,10.9
2012,,,,,Undefined,Units,"Rate per 100,000 population",,10.7
2013,,,,,Undefined,Units,"Rate per 100,000 population",,11.1
2014,,,,,Undefined,Units,"Rate per 100,000 population",,10.8
2015,,,,,Undefined,Units,"Rate per 100,000 population",,10.9
2016,,,,,Undefined,Units,"Rate per 100,000 population",,10.4
2017,,,,,Undefined,Units,"Rate per 100,000 population",,10.1
1981,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.5
1982,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.3
1983,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.1
1984,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.2
