Year,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Age,Value
2001-02,,,,,,,,4.5
2002-03,,,,,,,,4.8
2003-04,,,,,,,,5.0
2004-05,,,,,,,,4.9
2005-06,,,,,,,,5.5
2006-07,,,,,,,,5.8
2007-08,,,,,,,,5.7
2008-09,,,,,,,,5.1
2009-10,,,,,,,,5.3
2010-11,,,,,,,,5.0
2011-12,,,,,,,,6.6
2012-13,,,,,,,,6.4
2013-14,,,,,,,,6.2
2014-15,,,,,,,,7.0
2015-16,,,,,,,,7.2
2014-15,Medical products appliances and equipment,,,,,,,4.1
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.5
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.2
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.5
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.3
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.4
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.6
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.6
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2014-15,Hospital services,,,,,,,2.9
2014-15,Hospital services,Outpatient services,,,,,,2.8
2014-15,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,1.1
2014-15,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,1.7
2014-15,Hospital services,Outpatient services,Other services,,,,,0.0
2014-15,Hospital services,Inpatient hospital services,,,,,,0.1
2015-16,Medical products appliances and equipment,,,,,,,3.8
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.2
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.2
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.4
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.2
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.5
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.6
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.5
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2015-16,Hospital services,,,,,,,3.4
2015-16,Hospital services,Outpatient services,,,,,,3.4
2015-16,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,0.9
2015-16,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,2.4
2015-16,Hospital services,Outpatient services,Other services,,,,,0.0
2015-16,Hospital services,Inpatient hospital services,,,,,,0.0
2015-16,,,,Owner occupied,Owned outright,,,10.5
2015-16,,,,Owner occupied,Owner occupied buying with a mortgage,,,8.5
2015-16,,,,Owner occupied,,,,9.5
2015-16,,,,Social rented,Council,,,2.2
2015-16,,,,Social rented,Registered social landlord,,,3.1
2015-16,,,,Social rented,,,,2.6
2015-16,,,,Private rented,Rent free,,,3.5
2015-16,,,,Private rented,Rent paid unfurnished,,,4.0
2015-16,,,,Private rented,Rent paid furnished,,,2.0
2015-16,,,,Private rented,,,,3.6
2014-15,,,,,,Large employers and higher managerial,,10.2
2014-15,,,,,,Higher professional,,9.3
2014-15,,,,,,Lower managerial and professional,,7.8
2014-15,,,,,,Intermediate occupations,,4.2
2014-15,,,,,,Small employers,,6.6
2014-15,,,,,,Lower supervisory,,6.1
2014-15,,,,,,Semiroutine,,4.6
2014-15,,,,,,Routine,,4.2
2014-15,,,,,,Long term unemployed,,1.9
2014-15,,,,,,Students,,2.7
2014-15,,,,,,Occupation not stated,,8.5
2015-16,,,,,,Large employers and higher managerial,,10.1
2015-16,,,,,,Higher professional,,11.2
2015-16,,,,,,Lower managerial and professional,,8.8
2015-16,,,,,,Intermediate occupations,,6.4
2015-16,,,,,,Small employers,,7.7
2015-16,,,,,,Lower supervisory,,4.8
2015-16,,,,,,Semiroutine,,2.9
2015-16,,,,,,Routine,,3.6
2015-16,,,,,,Long term unemployed,,1.7
2015-16,,,,,,Students,,2.2
2015-16,,,,,,Occupation not stated,,7.7
2014-15,,,,,,,29 and under,3.1
2014-15,,,,,,,30 to 49,5.4
2014-15,,,,,,,50 to 64,8.1
2014-15,,,,,,,65 to 74,11.1
2014-15,,,,,,,75 and over,7.6
2014-15,Medical products appliances and equipment,,,,,,29 and under,1.8
2014-15,Medical products appliances and equipment,,,,,,30 to 49,3.5
2014-15,Medical products appliances and equipment,,,,,,50 to 64,5.4
2014-15,Medical products appliances and equipment,,,,,,65 to 74,5.4
2014-15,Medical products appliances and equipment,,,,,,75 and over,3.6
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,1.3
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.1
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,3.4
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,2.8
2014-15,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,75 and over,2.2
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,29 and under,0.5
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,30 to 49,1.4
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,50 to 64,2.0
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,65 to 74,2.6
2014-15,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,75 and over,1.4
2014-15,Hospital services,,,,,,29 and under,1.3
2014-15,Hospital services,,,,,,30 to 49,1.9
2014-15,Hospital services,,,,,,50 to 64,2.7
2014-15,Hospital services,,,,,,65 to 74,5.7
2014-15,Hospital services,,,,,,75 and over,4.0
2015-16,,,,,,,29 and under,2.5
2015-16,,,,,,,30 to 49,5.9
2015-16,,,,,,,50 to 64,9.1
2015-16,,,,,,,65 to 74,11.2
2015-16,,,,,,,75 and over,6.0
2015-16,Medical products appliances and equipment,,,,,,29 and under,2.0
2015-16,Medical products appliances and equipment,,,,,,30 to 49,3.3
2015-16,Medical products appliances and equipment,,,,,,50 to 64,3.8
2015-16,Medical products appliances and equipment,,,,,,65 to 74,7.0
2015-16,Medical products appliances and equipment,,,,,,75 and over,2.8
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,0.9
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.1
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,2.1
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,3.9
2015-16,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,75 and over,1.8
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,29 and under,1.1
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,30 to 49,1.2
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,50 to 64,1.7
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,65 to 74,3.1
2015-16,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,75 and over,1.0
2015-16,Hospital services,,,,,,29 and under,0.6
2015-16,Hospital services,,,,,,30 to 49,2.6
2015-16,Hospital services,,,,,,50 to 64,5.2
2015-16,Hospital services,,,,,,65 to 74,4.3
2015-16,Hospital services,,,,,,75 and over,3.2
2016-17,,,,,,,,7.3
2016-17,Medical products appliances and equipment,,,,,,,3.7
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.3
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.2
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.6
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.2
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.2
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.5
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.5
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2016-17,Hospital services,,,,,,,3.6
2016-17,Hospital services,Outpatient services,,,,,,3.4
2016-17,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,1.2
2016-17,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,2.2
2016-17,,,,Owner occupied,Owned outright,,,10.0
2016-17,,,,Owner occupied,Owner occupied buying with a mortgage,,,8.1
2016-17,,,,Owner occupied,,,,9.1
2016-17,,,,Social rented,Council,,,1.8
2016-17,,,,Social rented,Registered social landlord,,,4.2
2016-17,,,,Social rented,,,,3.0
2016-17,,,,Private rented,Rent free,,,7.0
2016-17,,,,Private rented,Rent paid unfurnished,,,4.5
2016-17,,,,Private rented,Rent paid furnished,,,3.2
2016-17,,,,Private rented,,,,4.4
2016-17,,,,,,Large employers and higher managerial,,8.9
2016-17,,,,,,Higher professional,,9.9
2016-17,,,,,,Lower managerial and professional,,8.6
2016-17,,,,,,Intermediate occupations,,6.3
2016-17,,,,,,Small employers,,6.5
2016-17,,,,,,Lower supervisory,,6.7
2016-17,,,,,,Semiroutine,,4.4
2016-17,,,,,,Routine,,3.7
2016-17,,,,,,Long term unemployed,,3.7
2016-17,,,,,,Students,,5.2
2016-17,,,,,,Occupation not stated,,7.7
2016-17,,,,,,,29 and under,2.6
2016-17,,,,,,,30 to 49,6.2
2016-17,,,,,,,50 to 64,9.4
2016-17,,,,,,,65 to 74,9.4
2016-17,,,,,,,75 and over,7.0
2016-17,Medical products appliances and equipment,,,,,,29 and under,1.9
2016-17,Medical products appliances and equipment,,,,,,30 to 49,3.4
2016-17,Medical products appliances and equipment,,,,,,50 to 64,4.6
2016-17,Medical products appliances and equipment,,,,,,65 to 74,4.5
2016-17,Medical products appliances and equipment,,,,,,75 and over,3.4
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,1.1
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.1
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,3.0
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,2.3
2016-17,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,75 and over,1.9
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,29 and under,0.8
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,30 to 49,1.3
