Year,Series,Observation status,Unit multiplier,Units,Value
1970,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
1971,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.4
1972,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.38
1973,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.34
1974,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.4
1975,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.39
1976,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.39
1977,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.44
1978,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.46
1979,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
1980,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.35
1981,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.43
1982,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.37
1983,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.35
1984,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.33
1985,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.33
1986,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1987,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.28
1988,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
1989,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1990,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
1991,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
1992,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1993,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1994,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1995,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.29
1996,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
1997,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.26
1998,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
1999,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.24
2000,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
2001,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
2002,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
2003,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.34
2004,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
2005,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.47
2006,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
2007,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
2008,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.43
2009,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
2010,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.57
2011,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.56
2012,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.56
2013,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2014,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2015,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2016,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2017,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2018,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2019,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2020,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2012,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.1887064170038697
2013,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2455673915176698
2014,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2382897530181202
2015,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2430168861610915
2016,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2265355151362872
2017,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2410657020526803
2018,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2329191822917033
2019,Net official development assistance (ODA) to LDCs as a percentage of GNI,Normal value,Units,Percentage (%),0.2245856433354212
