Year,Country,Region,Sex,Age,Unintentional poisoning category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.3590032073
2013,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0995767464380509
2013,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0124090387983285
2013,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.1343725201990174
2013,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0083150338236154
2013,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0707304177625193
2013,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0335994502813786
2014,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,0.9867369510619456
2014,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1171980133525894
2014,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0273733821527074
2014,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.7322064519732444
2014,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0105210039422708
2014,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.071970119185824
2014,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0257320304456198
2015,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.1638492436773755
2015,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1192315873212378
2015,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0197480890467713
2015,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9001765279055581
2015,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0144631081685834
2015,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0680755911134118
2015,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.042154340121813
2016,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.2369764408862418
2016,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.125040482852092
2016,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0292661807046477
2016,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9777661318367048
2016,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0103370621413263
2016,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0545106591672337
2016,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0365274406056363
2017,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.3249241076038891
2017,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1351572911993331
2017,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0314321881902849
2017,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.034884729358117
2017,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0085057577678086
2017,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0604779842757249
2017,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0527030213175574
2013,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.0954267372357991
2014,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.127463795502185
2017,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.0898966099089437
2013,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.4932264057170162
2013,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.3481598158002468
2013,England and Wales,,,15 to 19,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0870399539500617
2014,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.2632039939158934
2014,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.0877346646386311
2015,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.4118519215833941
2015,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.205925960791697
2016,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.3271965148217046
2016,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.1784708262663843
2016,England and Wales,,,15 to 19,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0892354131331921
2017,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.2425288237928052
2017,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.1515805148705032
2013,England and Wales,,,20 to 24,,Undefined,Units,"Rate per 100,000 population",K04000001,1.151314670522524
2013,England and Wales,,,20 to 24,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9681509729393952
2013,England and Wales,,,20 to 24,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1046649700475021
2014,England and Wales,,,20 to 24,,Undefined,Units,"Rate per 100,000 population",K04000001,0.6014652215810952
2014,England and Wales,,,20 to 24,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.4445612507338529
2015,England and Wales,,,20 to 24,,Undefined,Units,"Rate per 100,000 population",K04000001,0.8406736843653873
2015,England and Wales,,,20 to 24,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.7093184211832955
2016,England and Wales,,,20 to 24,,Undefined,Units,"Rate per 100,000 population",K04000001,0.8485722771437058
2016,England and Wales,,,20 to 24,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0795536509822224
2016,England and Wales,,,20 to 24,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.6364292078577792
2017,England and Wales,,,20 to 24,,Undefined,Units,"Rate per 100,000 population",K04000001,0.7498727224959406
2017,England and Wales,,,20 to 24,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.5088422045508169
2017,England and Wales,,,20 to 24,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0803435059817079
2013,England and Wales,,,25 to 29,,Undefined,Units,"Rate per 100,000 population",K04000001,1.910095915208261
2013,England and Wales,,,25 to 29,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.781035380396892
2014,England and Wales,,,25 to 29,,Undefined,Units,"Rate per 100,000 population",K04000001,1.0228915456223695
2014,England and Wales,,,25 to 29,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0767168659216777
2014,England and Wales,,,25 to 29,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.8438855251384547
2015,England and Wales,,,25 to 29,,Undefined,Units,"Rate per 100,000 population",K04000001,1.2142605798144863
2015,England and Wales,,,25 to 29,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0758912862384054
2015,England and Wales,,,25 to 29,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.0118838165120718
2016,England and Wales,,,25 to 29,,Undefined,Units,"Rate per 100,000 population",K04000001,1.4205685364505425
2016,England and Wales,,,25 to 29,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.271035006297854
2017,England and Wales,,,25 to 29,,Undefined,Units,"Rate per 100,000 population",K04000001,1.0653814697457678
2017,England and Wales,,,25 to 29,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9662762167461616
2013,England and Wales,,,30 to 34,,Undefined,Units,"Rate per 100,000 population",K04000001,2.3553516436472024
2013,England and Wales,,,30 to 34,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.2000537330770573
2014,England and Wales,,,30 to 34,,Undefined,Units,"Rate per 100,000 population",K04000001,1.4141431282542969
2014,England and Wales,,,30 to 34,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0771350797229616
