Year,Type of non-partner abuse,Abuse sub-type,Relationship to perpetrator,Age,Observation status,Unit multiplier,Unit measure,Value
2004/05,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1286138982885387
2004/05,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.027460833808411
2004/05,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0522859722877996
2004/05,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4619590317532995
2005/06,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0929359350212802
2005/06,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0234698373203756
2005/06,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0436325629013042
2005/06,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6630794160738592
2006/07,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1108635119090682
2006/07,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0316710901561596
2006/07,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0612917049408776
2006/07,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4630015618897126
2007/08,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1296049004129805
2007/08,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0067165666342055
2007/08,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.078160508688808
2007/08,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),
2008/09,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0640662066664399
2008/09,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0
