Year,Series,Poverty reduction aid type,Observation status,Unit multiplier,Units,Value
2009,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.0147609672832
2009,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.0177577532714799
2009,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.0006481432544263
2009,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.0051423581360793
2009,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.0383092219451909
2010,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.011753022101679
2010,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.0182414304287186
2010,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.0072492242510634
2010,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.0062600044772095
2010,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.0435036812586705
2011,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.0170681955310613
2011,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.027562672631701
2011,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.006186915785897
2011,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.0071483035017302
2011,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.0579660874503896
2012,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.0155014532569853
2012,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.0303494386867487
2012,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.0042017844134304
2012,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.0068372496445903
2012,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.0568899260017548
2013,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.0139582466052745
2013,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.0455917994293109
2013,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.0057829888987563
2013,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.0079117767815281
