Year,Series,Country,Vaccine,Age,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,93.8
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,92.6
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,92.4
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,94.1
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,94.9
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.6
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.9
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.8
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,93.7
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,93.3
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,94.5
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,95.1
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,95.6
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,95.5
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East,Percentage (%),Units,Normal value,E12000006,95.5
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East,Percentage (%),Units,Normal value,E12000006,91.9
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East,Percentage (%),Units,Normal value,E12000006,91.0
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East,Percentage (%),Units,Normal value,E12000006,90.7
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East,Percentage (%),Units,Normal value,E12000006,92.0
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East,Percentage (%),Units,Normal value,E12000006,92.0
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East,Percentage (%),Units,Normal value,E12000006,93.7
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East,Percentage (%),Units,Normal value,E12000006,93.0
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East,Percentage (%),Units,Normal value,E12000006,92.8
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East,Percentage (%),Units,Normal value,E12000006,93.8
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,97.0
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.9
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.4
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.2
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.8
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,94.9
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,93.8
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.0
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,93.7
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,93.9
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,93.5
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,93.8
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,92.4
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,91.3
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,91.7
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,92.6
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,95.0
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,94.6
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.3
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,94.1
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,92.7
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,91.8
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,91.8
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,92.7
