Year,Series,Age at which FGM took place,Country of birth,FGM type,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2015/16,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0223186614163952
2016/17,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0239030459560283
2017/18,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0222649657441152
2018/19,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0229783664949488
2019/20,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0235073946392598
2020/21,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0193402811324268
2021/22,Percentage (%),,,,,Percentage (%),Units,Normal value,,0.0194773188701186
2015/16,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1006977580031479
2016/17,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1442138046363204
2017/18,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1318962918299668
2018/19,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1336446340874325
2019/20,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.164546947404812
2020/21,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1160021562753754
2021/22,Percentage (%),Under 1,,,,Percentage (%),Units,Normal value,,0.1679560980439302
2015/16,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0373646732921754
2016/17,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0438498047568862
2017/18,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0416986293547832
2018/19,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0541687595505584
2019/20,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0559130758472362
2020/21,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.0432224476365887
2021/22,Percentage (%),1 to 4,,,,Percentage (%),Units,Normal value,,0.053318608028873
2015/16,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0552314901272948
2016/17,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0690548690259317
2017/18,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0603421104741015
2018/19,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0601767976873504
2019/20,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0724328634275462
