Year,Age,Main method of contraception,Observation status,Unit multiplier,Unit measure,Value
2014/15,16 to 17,Contraceptive patch,Undefined,Thousands,Number,1.606
2014/15,18 to 19,Contraceptive patch,Undefined,Thousands,Number,2.229
2014/15,20 to 24,Contraceptive patch,Undefined,Thousands,Number,4.823
2014/15,25 to 34,Contraceptive patch,Undefined,Thousands,Number,3.923
2014/15,35 to 44,Contraceptive patch,Undefined,Thousands,Number,0.669
2014/15,45 and over,Contraceptive patch,Undefined,Thousands,Number,0.056
2014/15,,Contraceptive patch,Undefined,Thousands,Number,13.786
2014/15,15 and under,Contraceptive patch,Undefined,Thousands,Number,0.48
2015/16,16 to 17,Contraceptive patch,Undefined,Thousands,Number,1.407
2015/16,18 to 19,Contraceptive patch,Undefined,Thousands,Number,2.227
2015/16,20 to 24,Contraceptive patch,Undefined,Thousands,Number,4.963
2015/16,25 to 34,Contraceptive patch,Undefined,Thousands,Number,4.169
2015/16,35 to 44,Contraceptive patch,Undefined,Thousands,Number,0.726
2015/16,45 and over,Contraceptive patch,Undefined,Thousands,Number,0.07
2015/16,,Contraceptive patch,Undefined,Thousands,Number,13.962
2015/16,15 and under,Contraceptive patch,Undefined,Thousands,Number,0.399
2016/17,16 to 17,Contraceptive patch,Undefined,Thousands,Number,1.341
2016/17,18 to 19,Contraceptive patch,Undefined,Thousands,Number,2.106
2016/17,20 to 24,Contraceptive patch,Undefined,Thousands,Number,5.022
2016/17,25 to 34,Contraceptive patch,Undefined,Thousands,Number,4.292
2016/17,35 to 44,Contraceptive patch,Undefined,Thousands,Number,0.734
2016/17,45 and over,Contraceptive patch,Undefined,Thousands,Number,0.061
2016/17,,Contraceptive patch,Undefined,Thousands,Number,13.854
2016/17,15 and under,Contraceptive patch,Undefined,Thousands,Number,0.298
2017/18,16 to 17,Contraceptive patch,Undefined,Thousands,Number,1.092
2017/18,18 to 19,Contraceptive patch,Undefined,Thousands,Number,1.83
2017/18,20 to 24,Contraceptive patch,Undefined,Thousands,Number,4.74
2017/18,25 to 34,Contraceptive patch,Undefined,Thousands,Number,4.212
2017/18,35 to 44,Contraceptive patch,Undefined,Thousands,Number,0.762
2017/18,45 and over,Contraceptive patch,Undefined,Thousands,Number,0.052
2017/18,,Contraceptive patch,Undefined,Thousands,Number,12.989
2017/18,15 and under,Contraceptive patch,Undefined,Thousands,Number,0.3
2014/15,16 to 17,Female condom,Undefined,Thousands,Number,0.111
2014/15,18 to 19,Female condom,Undefined,Thousands,Number,0.128
2014/15,20 to 24,Female condom,Undefined,Thousands,Number,0.288
2014/15,25 to 34,Female condom,Undefined,Thousands,Number,0.384
2014/15,35 to 44,Female condom,Undefined,Thousands,Number,0.182
2014/15,45 and over,Female condom,Undefined,Thousands,Number,0.125
2014/15,,Female condom,Undefined,Thousands,Number,1.267
2014/15,15 and under,Female condom,Undefined,Thousands,Number,0.048
2015/16,16 to 17,Female condom,Undefined,Thousands,Number,0.078
2015/16,18 to 19,Female condom,Undefined,Thousands,Number,0.117
2015/16,20 to 24,Female condom,Undefined,Thousands,Number,0.249
2015/16,25 to 34,Female condom,Undefined,Thousands,Number,0.322
2015/16,35 to 44,Female condom,Undefined,Thousands,Number,0.177
2015/16,45 and over,Female condom,Undefined,Thousands,Number,0.093
2015/16,,Female condom,Undefined,Thousands,Number,1.061
2015/16,15 and under,Female condom,Undefined,Thousands,Number,0.024
2016/17,16 to 17,Female condom,Undefined,Thousands,Number,0.104
2016/17,18 to 19,Female condom,Undefined,Thousands,Number,0.104
2016/17,20 to 24,Female condom,Undefined,Thousands,Number,0.254
2016/17,25 to 34,Female condom,Undefined,Thousands,Number,0.334
2016/17,35 to 44,Female condom,Undefined,Thousands,Number,0.166
2016/17,45 and over,Female condom,Undefined,Thousands,Number,0.112
2016/17,,Female condom,Undefined,Thousands,Number,1.105
2016/17,15 and under,Female condom,Undefined,Thousands,Number,0.03
2017/18,16 to 17,Female condom,Undefined,Thousands,Number,0.214
2017/18,18 to 19,Female condom,Undefined,Thousands,Number,0.344
2017/18,20 to 24,Female condom,Undefined,Thousands,Number,0.847
2017/18,25 to 34,Female condom,Undefined,Thousands,Number,1.139
2017/18,35 to 44,Female condom,Undefined,Thousands,Number,0.763
2017/18,45 and over,Female condom,Undefined,Thousands,Number,0.426
2017/18,,Female condom,Undefined,Thousands,Number,3.793
2017/18,15 and under,Female condom,Undefined,Thousands,Number,0.058
2014/15,16 to 17,Implant,Undefined,Thousands,Number,16.216
2014/15,18 to 19,Implant,Undefined,Thousands,Number,18.762
