Year,Series,Units,Unit multiplier,Observation status,Value
2000,Labour share of GDP,Percentage (%),Units,Normal Value,48.7
2001,Labour share of GDP,Percentage (%),Units,Normal Value,49.7
2002,Labour share of GDP,Percentage (%),Units,Normal Value,49.1
2003,Labour share of GDP,Percentage (%),Units,Normal Value,48.8
2004,Labour share of GDP,Percentage (%),Units,Normal Value,49.5
2005,Labour share of GDP,Percentage (%),Units,Normal Value,49.4
2006,Labour share of GDP,Percentage (%),Units,Normal Value,50.0
2007,Labour share of GDP,Percentage (%),Units,Normal Value,50.6
2008,Labour share of GDP,Percentage (%),Units,Normal Value,49.8
2009,Labour share of GDP,Percentage (%),Units,Normal Value,50.6
2010,Labour share of GDP,Percentage (%),Units,Normal Value,50.2
2011,Labour share of GDP,Percentage (%),Units,Normal Value,49.4
2012,Labour share of GDP,Percentage (%),Units,Normal Value,48.8
2013,Labour share of GDP,Percentage (%),Units,Normal Value,49.0
2014,Labour share of GDP,Percentage (%),Units,Normal Value,48.0
2015,Labour share of GDP,Percentage (%),Units,Normal Value,48.0
2016,Labour share of GDP,Percentage (%),Units,Normal Value,47.9
2017,Labour share of GDP,Percentage (%),Units,Normal Value,48.0
2018,Labour share of GDP,Percentage (%),Units,Normal Value,48.2
2019,Labour share of GDP,Percentage (%),Units,Normal Value,48.7
2020,Labour share of GDP,Percentage (%),Units,Normal Value,52.2
