Year,Unit measure,Unit multiplier,Observation status,Value
1972,Percentage change (%),Units,Undefined,3.990598046064988
1973,Percentage change (%),Units,Undefined,4.850336174373708
1974,Percentage change (%),Units,Undefined,-2.7560591179098424
1975,Percentage change (%),Units,Undefined,-1.1188917465654773
1976,Percentage change (%),Units,Undefined,3.6245173970732014
1977,Percentage change (%),Units,Undefined,2.3400708901604546
1978,Percentage change (%),Units,Undefined,3.63065147282524
1979,Percentage change (%),Units,Undefined,2.6722132861808428
1980,Percentage change (%),Units,Undefined,-1.630724653455922
1981,Percentage change (%),Units,Undefined,1.9743148567446152
1982,Percentage change (%),Units,Undefined,4.010714810831798
1983,Percentage change (%),Units,Undefined,4.96809442772044
1984,Percentage change (%),Units,Undefined,0.0958980456826442
1985,Percentage change (%),Units,Undefined,2.8237709077427757
1986,Percentage change (%),Units,Undefined,2.5084608118542384
1987,Percentage change (%),Units,Undefined,3.3337250088847816
1988,Percentage change (%),Units,Undefined,2.361892075659369
1989,Percentage change (%),Units,Undefined,-0.0260657707932078
1990,Percentage change (%),Units,Undefined,0.2765135571436116
1991,Percentage change (%),Units,Undefined,1.5770419218870089
1992,Percentage change (%),Units,Undefined,2.84620130026036
1993,Percentage change (%),Units,Undefined,3.45047583934942
1994,Percentage change (%),Units,Undefined,3.027613478563741
1995,Percentage change (%),Units,Undefined,1.2844385194743682
1996,Percentage change (%),Units,Undefined,1.539771953657587
1997,Percentage change (%),Units,Undefined,3.1311997934445936
1998,Percentage change (%),Units,Undefined,2.666629419010574
1999,Percentage change (%),Units,Undefined,1.8769549684474924
2000,Percentage change (%),Units,Undefined,2.316211605937155
2001,Percentage change (%),Units,Undefined,1.8850607311460912
2002,Percentage change (%),Units,Undefined,1.3304863614806852
2003,Percentage change (%),Units,Undefined,2.307737570680646
2004,Percentage change (%),Units,Undefined,1.1784457270334594
2005,Percentage change (%),Units,Undefined,1.8137222112166964
2006,Percentage change (%),Units,Undefined,1.678774780549678
2007,Percentage change (%),Units,Undefined,1.5243000204923276
2008,Percentage change (%),Units,Undefined,-1.120172028122823
2009,Percentage change (%),Units,Undefined,-2.561671391597633
2010,Percentage change (%),Units,Undefined,1.822602606135613
2011,Percentage change (%),Units,Undefined,0.7586086934673677
2012,Percentage change (%),Units,Undefined,0.3407955452051804
2013,Percentage change (%),Units,Undefined,1.0093068768945614
2014,Percentage change (%),Units,Undefined,0.4846509828818133
2015,Percentage change (%),Units,Undefined,0.6256621452245271
2016,Percentage change (%),Units,Undefined,0.2515386287561081
2017,Percentage change (%),Units,Undefined,0.7469315019379785
2018,Percentage change (%),Units,Undefined,0.0602453403192769
2019,Percentage change (%),Units,Undefined,0.1494726734437772
