Year,Country income classification,Observation status,Unit multiplier,Units,Value
2015,Developing countries,Definition differs,Units,Percentage (%),18.0944677523
2016,Developing countries,Definition differs,Units,Percentage (%),17.891167579050578
2017,Developing countries,Definition differs,Units,Percentage (%),17.549223486347003
2018,Developing countries,Definition differs,Units,Percentage (%),17.24609654067987
2019,Developing countries,Definition differs,Units,Percentage (%),17.79813047531809
2020,Developing countries,Definition differs,Units,Percentage (%),19.89481787636505
2021,Developing countries,Definition differs,Units,Percentage (%),21.20198205248834
2022,Developing countries,Definition differs,Units,Percentage (%),20.05016422018145
2015,Developing countries excluding China,Definition differs,Units,Percentage (%),11.097383204152742
2016,Developing countries excluding China,Definition differs,Units,Percentage (%),10.879320205899177
2017,Developing countries excluding China,Definition differs,Units,Percentage (%),10.79759290471193
2018,Developing countries excluding China,Definition differs,Units,Percentage (%),10.754265617727654
2019,Developing countries excluding China,Definition differs,Units,Percentage (%),10.889750231719947
2020,Developing countries excluding China,Definition differs,Units,Percentage (%),10.474550620538418
2021,Developing countries excluding China,Definition differs,Units,Percentage (%),11.458063116735037
2022,Developing countries excluding China,Definition differs,Units,Percentage (%),11.9133369851348
2015,Least developed countries,Definition differs,Units,Percentage (%),0.9917869586859134
2016,Least developed countries,Definition differs,Units,Percentage (%),0.94305090285154
2017,Least developed countries,Definition differs,Units,Percentage (%),0.949611332635668
2018,Least developed countries,Definition differs,Units,Percentage (%),0.8374913173936478
2019,Least developed countries,Definition differs,Units,Percentage (%),0.8695274000342484
2020,Least developed countries,Definition differs,Units,Percentage (%),0.7721234543989206
2021,Least developed countries,Definition differs,Units,Percentage (%),0.7039188185067776
2022,Least developed countries,Definition differs,Units,Percentage (%),0.932207336572644
