Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2002/03,,Percentage (%),Units,Undefined,41.1994142248
2003/04,,Percentage (%),Units,Undefined,39.395112773262866
2004/05,,Percentage (%),Units,Undefined,46.05412005081218
2005/06,,Percentage (%),Units,Undefined,44.636797781172895
2006/07,,Percentage (%),Units,Undefined,42.72968532509084
2007/08,,Percentage (%),Units,Undefined,42.446083333001866
2008/09,,Percentage (%),Units,Undefined,43.822213911374895
2009/10,,Percentage (%),Units,Undefined,46.20501570783002
2010/11,,Percentage (%),Units,Undefined,40.87926067942063
2011/12,,Percentage (%),Units,Undefined,42.42954393865436
2012/13,,Percentage (%),Units,Undefined,44.07574452427797
2013/14,,Percentage (%),Units,Undefined,52.43987337398034
2014/15,,Percentage (%),Units,Undefined,52.91097909245056
2015/16,,Percentage (%),Units,Undefined,52.68114974432744
2016/17,,Percentage (%),Units,Undefined,41.78909874258952
2017/18,,Percentage (%),Units,Undefined,38.120995397550566
2018/19,,Percentage (%),Units,Undefined,44.28668947857067
2002/03,Wounding,Percentage (%),Units,Undefined,52.54702216331014
2003/04,Wounding,Percentage (%),Units,Undefined,57.09194121609952
2004/05,Wounding,Percentage (%),Units,Undefined,60.32933717699608
2005/06,Wounding,Percentage (%),Units,Undefined,59.11389961152692
2006/07,Wounding,Percentage (%),Units,Undefined,57.18377386659169
2007/08,Wounding,Percentage (%),Units,Undefined,58.11557860646141
2008/09,Wounding,Percentage (%),Units,Undefined,64.56894785313007
2009/10,Wounding,Percentage (%),Units,Undefined,59.70745703500185
2010/11,Wounding,Percentage (%),Units,Undefined,58.09085903302965
2011/12,Wounding,Percentage (%),Units,Undefined,67.16626942138593
2012/13,Wounding,Percentage (%),Units,Undefined,56.036468472100275
2013/14,Wounding,Percentage (%),Units,Undefined,58.85166368284447
2014/15,Wounding,Percentage (%),Units,Undefined,70.81884775281759
2015/16,Wounding,Percentage (%),Units,Undefined,65.23580927307339
2016/17,Wounding,Percentage (%),Units,Undefined,46.03191716636336
2017/18,Wounding,Percentage (%),Units,Undefined,57.33423935295981
2018/19,Wounding,Percentage (%),Units,Undefined,59.98260085844266
2002/03,Assault with minor injury or without injury,Percentage (%),Units,Undefined,36.73110583729554
2003/04,Assault with minor injury or without injury,Percentage (%),Units,Undefined,32.621217183193785
2004/05,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.4839490717369
2005/06,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.35870525377008
2006/07,Assault with minor injury or without injury,Percentage (%),Units,Undefined,37.44637767814107
2007/08,Assault with minor injury or without injury,Percentage (%),Units,Undefined,36.87996315702903
2008/09,Assault with minor injury or without injury,Percentage (%),Units,Undefined,37.106640983446106
2009/10,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.83641944600151
2010/11,Assault with minor injury or without injury,Percentage (%),Units,Undefined,34.593179862764714
2011/12,Assault with minor injury or without injury,Percentage (%),Units,Undefined,32.99616642910482
2012/13,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.612713490089384
2013/14,Assault with minor injury or without injury,Percentage (%),Units,Undefined,50.7760025354164
2014/15,Assault with minor injury or without injury,Percentage (%),Units,Undefined,46.989831366901534
2015/16,Assault with minor injury or without injury,Percentage (%),Units,Undefined,49.00638650723493
2016/17,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.26020659699539
2017/18,Assault with minor injury or without injury,Percentage (%),Units,Undefined,34.2024215057827
2018/19,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.167639676951744
2002/03,Domestic violence,Percentage (%),Units,Undefined,35.42320027121986
2003/04,Domestic violence,Percentage (%),Units,Undefined,39.417915840442284
2004/05,Domestic violence,Percentage (%),Units,Undefined,41.11473101115138
2005/06,Domestic violence,Percentage (%),Units,Undefined,41.916037565015436
2006/07,Domestic violence,Percentage (%),Units,Undefined,43.702588639688756
2007/08,Domestic violence,Percentage (%),Units,Undefined,40.78962327516047
2008/09,Domestic violence,Percentage (%),Units,Undefined,49.14633696430236
2009/10,Domestic violence,Percentage (%),Units,Undefined,42.84873542349965
2010/11,Domestic violence,Percentage (%),Units,Undefined,41.56839652257553
2011/12,Domestic violence,Percentage (%),Units,Undefined,39.18161742496868
2012/13,Domestic violence,Percentage (%),Units,Undefined,49.034103785029195
2013/14,Domestic violence,Percentage (%),Units,Undefined,55.14470592625986
2014/15,Domestic violence,Percentage (%),Units,Undefined,54.547604361902245
2015/16,Domestic violence,Percentage (%),Units,Undefined,52.23918796739929
2016/17,Domestic violence,Percentage (%),Units,Undefined,39.33174139692712
2017/18,Domestic violence,Percentage (%),Units,Undefined,26.611544190506763
2018/19,Domestic violence,Percentage (%),Units,Undefined,40.149650370232415
2002/03,Acquaintance violence,Percentage (%),Units,Undefined,42.97144416514487
2003/04,Acquaintance violence,Percentage (%),Units,Undefined,39.29769133156278
2004/05,Acquaintance violence,Percentage (%),Units,Undefined,44.93485660383927
2005/06,Acquaintance violence,Percentage (%),Units,Undefined,44.34718842232449
2006/07,Acquaintance violence,Percentage (%),Units,Undefined,48.75991859802562
2007/08,Acquaintance violence,Percentage (%),Units,Undefined,46.675164624097654
2008/09,Acquaintance violence,Percentage (%),Units,Undefined,39.892979493535634
2009/10,Acquaintance violence,Percentage (%),Units,Undefined,45.84573514791697
2010/11,Acquaintance violence,Percentage (%),Units,Undefined,38.35534738794804
2011/12,Acquaintance violence,Percentage (%),Units,Undefined,45.13343367697714
2012/13,Acquaintance violence,Percentage (%),Units,Undefined,44.547909756369066
2013/14,Acquaintance violence,Percentage (%),Units,Undefined,54.371461197966354
2014/15,Acquaintance violence,Percentage (%),Units,Undefined,47.00668502516493
2015/16,Acquaintance violence,Percentage (%),Units,Undefined,46.230658059095795
2016/17,Acquaintance violence,Percentage (%),Units,Undefined,42.09236467921027
2017/18,Acquaintance violence,Percentage (%),Units,Undefined,41.658347879986096
2018/19,Acquaintance violence,Percentage (%),Units,Undefined,44.63166809541151
2002/03,Stranger violence,Percentage (%),Units,Undefined,43.29868739017436
2003/04,Stranger violence,Percentage (%),Units,Undefined,39.62858491003677
2004/05,Stranger violence,Percentage (%),Units,Undefined,49.71134368063817
2005/06,Stranger violence,Percentage (%),Units,Undefined,46.11206928361057
2006/07,Stranger violence,Percentage (%),Units,Undefined,36.219365486180564
2007/08,Stranger violence,Percentage (%),Units,Undefined,39.004554479285524
