Year,Series,Source of revenue,Unit measure,Unit multiplier,Observation status,Value
1998,Central government,,Percentage (%),Units,Undefined,21.9737470571
1998,Central government,Taxes,Percentage (%),Units,Undefined,16.89232905946715
1998,Central government,National insurance contributions,Percentage (%),Units,Undefined,3.589912094984841
1998,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.5751257600650396
1998,Central government,Other receipts,Percentage (%),Units,Undefined,0.8655002455920461
1998,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.201961348893142
1998,Central government,Pension contributions,Percentage (%),Units,Undefined,0.6481597533917108
1998,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0004742467099134
1998,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.001287241069765
1998,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8010026930438171
1999,Central government,,Percentage (%),Units,Undefined,22.60173074425676
1999,Central government,Taxes,Percentage (%),Units,Undefined,17.402283260158647
1999,Central government,National insurance contributions,Percentage (%),Units,Undefined,3.721611740831739
1999,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.5137532121873569
1999,Central government,Other receipts,Percentage (%),Units,Undefined,0.8676021308329321
1999,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.2158511197891729
1999,Central government,Pension contributions,Percentage (%),Units,Undefined,0.6907104656638652
1999,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0003279415372062
1999,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.0015741193785901
1999,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8119832461227472
2000,Central government,,Percentage (%),Units,Undefined,23.5614379379021
2000,Central government,Taxes,Percentage (%),Units,Undefined,18.165780697424346
2000,Central government,National insurance contributions,Percentage (%),Units,Undefined,3.8179581920524472
2000,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.5147260571274319
2000,Central government,Other receipts,Percentage (%),Units,Undefined,0.9174201471243332
2000,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.2199451119400857
2000,Central government,Pension contributions,Percentage (%),Units,Undefined,0.7400573213334085
2000,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0
2000,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.0018376284201274
2000,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8162872175200762
2001,Central government,,Percentage (%),Units,Undefined,23.678022807684147
2001,Central government,Taxes,Percentage (%),Units,Undefined,18.03809258281479
2001,Central government,National insurance contributions,Percentage (%),Units,Undefined,3.893701486792565
2001,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.5147396262540032
2001,Central government,Other receipts,Percentage (%),Units,Undefined,0.956694020754894
2001,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.2672081558936299
2001,Central government,Pension contributions,Percentage (%),Units,Undefined,0.8059422356662439
2001,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0004934591983261
2001,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.028003809505011
2001,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.826852569195316
2002,Central government,,Percentage (%),Units,Undefined,23.458178567138194
2002,Central government,Taxes,Percentage (%),Units,Undefined,17.903558701889672
2002,Central government,National insurance contributions,Percentage (%),Units,Undefined,3.827878862514496
2002,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.4307797439347648
2002,Central government,Other receipts,Percentage (%),Units,Undefined,0.9736008562471816
2002,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.281129661926037
2002,Central government,Pension contributions,Percentage (%),Units,Undefined,0.86005030995496
2002,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0007847725155762
2002,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.027708506511499
2002,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8473128483559921
2003,Central government,,Percentage (%),Units,Undefined,23.97720440837856
2003,Central government,Taxes,Percentage (%),Units,Undefined,18.03431841963964
2003,Central government,National insurance contributions,Percentage (%),Units,Undefined,4.179815010759197
2003,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.4504080782491284
2003,Central government,Other receipts,Percentage (%),Units,Undefined,0.9938307706599656
2003,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.2942930976963108
2003,Central government,Pension contributions,Percentage (%),Units,Undefined,0.8820613253764551
2003,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0005842626517695
2003,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.0300895265661306
2003,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8881960832200352
2004,Central government,,Percentage (%),Units,Undefined,25.582541740685095
2004,Central government,Taxes,Percentage (%),Units,Undefined,18.977146153802217
2004,Central government,National insurance contributions,Percentage (%),Units,Undefined,4.52530145257013
2004,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.4111521742855674
2004,Central government,Other receipts,Percentage (%),Units,Undefined,0.9886958856222404
2004,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.5734310471871091
2004,Central government,Pension contributions,Percentage (%),Units,Undefined,0.8989598386921729
