Year,Series,Age,Number of previous live births,Country,Region,Health board,Observation status,Unit multiplier,Units,GeoCode,Value
2014,Births occurring within a medical facility,,,England,East,,Normal value,Units,Percentage (%),E12000006,97.29
2014,Births occurring within a medical facility,,,England,East Midlands,,Normal value,Units,Percentage (%),E12000004,97.2
2014,Births occurring within a medical facility,,,England,London,,Normal value,Units,Percentage (%),E12000007,98.09
2014,Births occurring within a medical facility,,,England,North East,,Normal value,Units,Percentage (%),E12000001,98.72
2014,Births occurring within a medical facility,,,England,North West,,Normal value,Units,Percentage (%),E12000002,97.58
2014,Births occurring within a medical facility,,,England,South East,,Normal value,Units,Percentage (%),E12000008,96.92
2014,Births occurring within a medical facility,,,England,South West,,Normal value,Units,Percentage (%),E12000009,96.61
2014,Births occurring within a medical facility,,,England,West Midlands,,Normal value,Units,Percentage (%),E12000005,98.25
2014,Births occurring within a medical facility,,,England,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,97.5
2014,Births occurring within a medical facility,,,Wales,,Abertawe Bro Morgannwg University,Normal value,Units,Percentage (%),W92000004,95.79
2014,Births occurring within a medical facility,,,Wales,,Aneurin Bevan University,Normal value,Units,Percentage (%),W92000004,97.1
2014,Births occurring within a medical facility,,,Wales,,Betsi Cadwaladr University,Normal value,Units,Percentage (%),W92000004,97.53
2014,Births occurring within a medical facility,,,Wales,,Cardiff and Vale University,Normal value,Units,Percentage (%),W92000004,97.0
2014,Births occurring within a medical facility,,,Wales,,Cwm Taf University,Normal value,Units,Percentage (%),W92000004,97.87
2014,Births occurring within a medical facility,,,Wales,,Hywel Dda University,Normal value,Units,Percentage (%),W92000004,95.05
2014,Births occurring within a medical facility,,,Wales,,Powys Teaching,Normal value,Units,Percentage (%),W92000004,91.84
2014,Births occurring within a medical facility,,,,,,Normal value,Units,Percentage (%),,97.49863969529174
2014,Births occurring within a medical facility,19 and under,,,,,Normal value,Units,Percentage (%),,98.47672669777486
2014,Births occurring within a medical facility,20 to 24,,,,,Normal value,Units,Percentage (%),,98.03097621469227
2014,Births occurring within a medical facility,25 to 29,,,,,Normal value,Units,Percentage (%),,97.68137928206812
2014,Births occurring within a medical facility,30 to 34,,,,,Normal value,Units,Percentage (%),,97.27995339747444
2014,Births occurring within a medical facility,35 to 39,,,,,Normal value,Units,Percentage (%),,96.79612422975256
2014,Births occurring within a medical facility,40 to 44,,,,,Normal value,Units,Percentage (%),,97.60832544938503
2014,Births occurring within a medical facility,45 and over,,,,,Normal value,Units,Percentage (%),,98.8404196576477
2014,Births occurring within a medical facility,,0,,,,Normal value,Units,Percentage (%),,99.0841868579478
2014,Births occurring within a medical facility,19 and under,0,,,,Normal value,Units,Percentage (%),,98.99749373433583
2014,Births occurring within a medical facility,20 to 24,0,,,,Normal value,Units,Percentage (%),,99.21615705105572
2014,Births occurring within a medical facility,25 to 29,0,,,,Normal value,Units,Percentage (%),,99.16865990044606
2014,Births occurring within a medical facility,30 to 34,0,,,,Normal value,Units,Percentage (%),,98.94827275624591
2014,Births occurring within a medical facility,35 to 39,0,,,,Normal value,Units,Percentage (%),,98.9051594361571
2014,Births occurring within a medical facility,40 to 44,0,,,,Normal value,Units,Percentage (%),,99.43995021779712
2014,Births occurring within a medical facility,45 and over,0,,,,Normal value,Units,Percentage (%),,99.83050847457628
2014,Births occurring within a medical facility,,1,,,,Normal value,Units,Percentage (%),,97.03666053506308
2014,Births occurring within a medical facility,19 and under,1,,,,Normal value,Units,Percentage (%),,97.1576689309975
2014,Births occurring within a medical facility,20 to 24,1,,,,Normal value,Units,Percentage (%),,97.32533717958452
2014,Births occurring within a medical facility,25 to 29,1,,,,Normal value,Units,Percentage (%),,97.41405103509196
2014,Births occurring within a medical facility,30 to 34,1,,,,Normal value,Units,Percentage (%),,96.90704988749518
2014,Births occurring within a medical facility,35 to 39,1,,,,Normal value,Units,Percentage (%),,96.32229867956109
