Year,Series,Observation status,Unit multiplier,Units,Value
1970,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
1971,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.4
1972,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.38
1973,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.34
1974,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.4
1975,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.39
1976,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.39
1977,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.44
1978,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.46
1979,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
1980,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.35
1981,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.43
1982,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.37
1983,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.35
1984,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.33
1985,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.33
1986,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1987,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.28
1988,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
1989,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1990,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
1991,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
1992,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1993,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1994,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
1995,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.29
1996,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
1997,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.26
1998,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.27
