Year,Series,Age,Sex,Country of birth,Disability status,Ethnicity,Ethnic group,Household income,Region,Urban or rural,Sexual orientation,Highest qualification,Observation status,Unit multiplier,Units,GeoCode,Value
2001/02,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,68.08609377647656
2001/02,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,53.096617922848345
2001/02,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.03549880314391
2002/03,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,50.44783516964759
2002/03,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,81.96650072375839
2002/03,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,65.71513079673647
2003/04,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,53.25797600438492
2003/04,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,83.60368269869024
2003/04,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,67.98317450562118
2004/05,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,56.55094237556175
2004/05,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.80284274385487
2004/05,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,70.26242897022688
2005/06,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,54.56886977947831
2005/06,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,82.81551117478963
2005/06,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,68.27897624231028
2006/07,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,55.9485120177003
2006/07,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,82.89045800167682
2006/07,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,69.03893532593428
2007/08,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,56.334441511193866
2007/08,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,83.03751375719125
2007/08,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,69.32177030234246
2008/09,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,57.39225210700855
2008/09,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,83.39308686861618
2008/09,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,70.04666565093463
2009/10,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,60.94367969347289
2009/10,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.73876559170024
2009/10,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,72.53356924800842
2010/11,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,63.54408855640662
2010/11,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,86.08563182994014
2010/11,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,74.53675390817087
2011/12,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,64.48216164655682
2011/12,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,87.08260300311319
2011/12,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,75.51578593894111
2012/13,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,56.6509335295144
2012/13,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.7228885052252
2012/13,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,70.4816186669451
2013/14,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,57.95424582600218
2013/14,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,85.08356364056478
2013/14,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,71.24689954764844
2014/15,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,61.81505205936627
2014/15,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,85.75433770838818
2014/15,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,73.6875703571393
2015/16,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,61.70598040835485
2015/16,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,87.8726364451006
2015/16,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,74.70836037038079
2016/17,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Normal value,Units,Percentage (%),E12000001,72.13568101
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Normal value,Units,Percentage (%),E12000002,76.47150371
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Normal value,Units,Percentage (%),E12000003,77.00300553
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Normal value,Units,Percentage (%),E12000004,73.37057158
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Normal value,Units,Percentage (%),E12000005,68.48863783
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Normal value,Units,Percentage (%),E12000006,73.21421362
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Normal value,Units,Percentage (%),E12000007,72.2907938
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Normal value,Units,Percentage (%),E12000008,77.7169555
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Normal value,Units,Percentage (%),E12000009,80.77707118
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Normal value,Units,Percentage (%),W92000004,81.43447067
2017/18,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,63.74953488284568
2017/18,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,65.13337433
2017/18,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,66.419576
2017/18,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,67.46390399
2017/18,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,65.67401763
2017/18,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,64.4565555
2017/18,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,58.25077059
2017/18,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,54.10797382
2017/18,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,87.16786062260739
2017/18,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,89.16639631
2017/18,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,87.39048872
2017/18,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.42503011
2017/18,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,90.92815488
2017/18,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,86.01610228
2017/18,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.26633697
2017/18,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,80.00095654
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,75.2219777184439
2017/18,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,76.97541886
2017/18,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,77.01368031
2017/18,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,77.95679948
2017/18,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,78.12526752
2017/18,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,74.81302419
2017/18,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,70.45375257
2017/18,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,66.46329694
2017/18,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Normal value,Units,Percentage (%),,76.03719811
2017/18,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Normal value,Units,Percentage (%),,76.19900083
2017/18,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Normal value,Units,Percentage (%),,73.07632794
2017/18,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Normal value,Units,Percentage (%),,74.64943342
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Normal value,Units,Percentage (%),,79.20927779
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Normal value,Units,Percentage (%),,65.10010961
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Normal value,Units,Percentage (%),,61.39216943
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Normal value,Units,Percentage (%),,62.53960311
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Normal value,Units,Percentage (%),,70.12885334
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Normal value,Units,Percentage (%),,76.49473249
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Normal value,Units,Percentage (%),,74.92607511
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Normal value,Units,Percentage (%),,85.23406325
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Normal value,Units,Percentage (%),,77.59134016
2017/18,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,Any other ethnic group,,,,,,Normal value,Units,Percentage (%),,76.27382714
2017/18,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,76.15675162
2017/18,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,70.84039142
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"Less than £10,400",,,,,Normal value,Units,Percentage (%),,64.02917865
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"£10,400 to less than £20,800",,,,,Normal value,Units,Percentage (%),,68.3370455
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"£20,800 to less than £31,200",,,,,Normal value,Units,Percentage (%),,75.49064361
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"£31,200 to less than £41,600",,,,,Normal value,Units,Percentage (%),,77.81187157
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"£41,600 to less than £52,000",,,,,Normal value,Units,Percentage (%),,77.74074978
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,"£52,000 or more",,,,,Normal value,Units,Percentage (%),,85.34316591
2017/18,Proportion of population who feel safe walking alone after dark,,,,,,,No income stated or not enough information provided,,,,,Normal value,Units,Percentage (%),,69.07494721
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Normal value,Units,Percentage (%),E12000006,78.28681079754766
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Normal value,Units,Percentage (%),E12000004,79.30637433402521
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Normal value,Units,Percentage (%),E12000007,74.51738341580496
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Normal value,Units,Percentage (%),E12000001,74.55468688376641
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Normal value,Units,Percentage (%),E12000002,77.24722342281228
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Normal value,Units,Percentage (%),E12000008,81.4457544935554
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Normal value,Units,Percentage (%),E12000009,85.0036375152492
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Normal value,Units,Percentage (%),W92000004,82.50008598214113
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Normal value,Units,Percentage (%),E12000005,73.39975941331028
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Normal value,Units,Percentage (%),E12000003,79.4401074628456
2018/19,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.81072249215667
2018/19,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,69.05765998777194
2018/19,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,73.82404259236019
2018/19,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,70.62110623992287
2018/19,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,69.40956631805936
2018/19,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,69.89969095074123
2018/19,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,65.34300363119706
2018/19,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,59.93864362189636
2018/19,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.35775144994396
2018/19,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,91.21439964316546
2018/19,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,90.67450594442457
2018/19,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.3222119933392
2018/19,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,87.95703176013215
2018/19,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.53319337056503
2018/19,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.18782723645066
2018/19,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,85.3682325564091
2018/19,Proportion of population who feel safe walking alone after dark,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,63.64163116961257
2018/19,Proportion of population who feel safe walking alone after dark,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,81.32498048789061
2018/19,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,78.41676293133546
2018/19,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,80.26767232704465
2018/19,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,82.40233909730615
2018/19,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,79.4084263958582
2018/19,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,78.86493418980255
2018/19,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,78.97175330972198
2018/19,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,73.96338701112634
2018/19,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,71.37582048947397
2018/19,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Normal value,Units,Percentage (%),,78.81217145729046
2018/19,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Normal value,Units,Percentage (%),,78.7523797930001
