Year,Series,Observation status,Unit multiplier,Units,Value
2000/01,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),12.739383846794336
2001/02,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.333333333333334
2002/03,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.309002433090026
2003/04,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.622152746761948
2004/05,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.548387096774192
2005/06,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.640805159273013
2006/07,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.662736290473518
2007/08,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.887418387153696
2008/09,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.474025974025974
2009/10,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.56114005516396
2010/11,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),13.591800356506235
2011/12,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),12.805329385640263
2012/13,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),12.382214369846876
2013/14,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),12.268250289687138
2014/15,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),12.101820250284412
2015/16,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),11.826159632260762
2016/17,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),11.700661521499448
2017/18,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),11.504543025120256
2018/19,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),11.431166472038406
2019/20,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),11.369055088467812
2020/21,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),9.442357128732452
2021/22,"Proportion of total government spending on essential services, education",Normal value,Units,Percentage (%),10.532395253596556
