Year,Units,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004/05,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.30374225863
2005/06,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.518203361812256
2006/07,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.615723951008618
2007/08,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.220040955473805
2008/09,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.887869890969026
2009/10,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.8663253703843976
2010/11,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.9124697866567124
2011/12,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.1201791277459545
2012/13,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.568753275268881
2013/14,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.2473063626980463
2014/15,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.5052141786840456
2015/16,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.715373385729858
2016/17,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.738902155951773
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.50643217921014
2018/19,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.4742472714024086
2019/20,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.940524433946042
2004/05,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.164250799331341
2005/06,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.0515830206046854
2006/07,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.2179705540777277
2007/08,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.7407243398470063
