Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Ephemeral,,% of total land area,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Ephemeral,,Square km,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
