Year,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Highest qualification,Units,Unit multiplier,Observation status,GeoCode,Value
2004/05,,,,,,,,,,Percentage (%),Units,Undefined,,8.650739326
2005/06,,,,,,,,,,Percentage (%),Units,Undefined,,9.225465239
2006/07,,,,,,,,,,Percentage (%),Units,Undefined,,8.697371257
2008/09,,,,,,,,,,Percentage (%),Units,Undefined,,6.987348133999999
2009/10,,,,,,,,,,Percentage (%),Units,Undefined,,7.364374097000001
2010/11,,,,,,,,,,Percentage (%),Units,Undefined,,7.408327936
2011/12,,,,,,,,,,Percentage (%),Units,Undefined,,6.88364895
2012/13,,,,,,,,,,Percentage (%),Units,Undefined,,6.658768427999999
2013/14,,,,,,,,,,Percentage (%),Units,Undefined,,6.793446766000001
2014/15,,,,,,,,,,Percentage (%),Units,Undefined,,6.475845062
2015/16,,,,,,,,,,Percentage (%),Units,Undefined,,6.2308803
2016/17,,,,,,,,,,Percentage (%),Units,Undefined,,5.946623112
2017/18,,,,,,,,,,Percentage (%),Units,Undefined,,6.256431824
2004/05,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,8.625293705
2005/06,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,8.777104857000001
2006/07,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,8.644851039
2007/08,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,7.538236297999999
2008/09,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,6.538726122999999
2009/10,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,7.178076725
2010/11,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,6.440620977000001
2011/12,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,7.023852624
2012/13,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,6.078256538
2013/14,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.932027374
2014/15,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.829772255
2015/16,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.39930417
2016/17,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.20522459
2017/18,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.635156993
2004/05,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.482824889
2005/06,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.6255429339999999
2006/07,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.548795565
2007/08,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.5107272829999999
2008/09,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.363944892
2009/10,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.398019963
2010/11,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.562431162
2011/12,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.530354941
2012/13,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.433880052
2013/14,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.358277543
2014/15,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.471963168
2015/16,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.49941007299999995
2016/17,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.423124276
2017/18,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.361936427
2004/05,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.180405559
