Year,Units,Sex,Observation status,Unit multiplier,Unit measure,Value
2012,Nursery (%),,Undefined,Units,Percentage (%),97.1446306642
2012,Primary (%),,Undefined,Units,Percentage (%),97.66571670057378
2012,Secondary (%),,Undefined,Units,Percentage (%),95.49743227407457
2012,All public schools (%),,Undefined,Units,Percentage (%),96.11530821453357
2012,Nursery (%),Male,Undefined,Units,Percentage (%),98.46153846153848
2012,Primary (%),Male,Undefined,Units,Percentage (%),96.39100646530927
2012,Secondary (%),Male,Undefined,Units,Percentage (%),95.73013717870687
2012,All public schools (%),Male,Undefined,Units,Percentage (%),95.10350573607641
2012,Nursery (%),Female,Undefined,Units,Percentage (%),97.07602339181284
2012,Primary (%),Female,Undefined,Units,Percentage (%),97.86928616922249
2012,Secondary (%),Female,Undefined,Units,Percentage (%),95.38696982947091
2012,All public schools (%),Female,Undefined,Units,Percentage (%),96.46594804773416
2013,Nursery (%),,Undefined,Units,Percentage (%),100.0
2013,Primary (%),,Undefined,Units,Percentage (%),97.63190693809722
2013,Secondary (%),,Undefined,Units,Percentage (%),94.69827586206895
2013,All public schools (%),,Undefined,Units,Percentage (%),95.72182066809923
2013,Nursery (%),Male,Undefined,Units,Percentage (%),100.0
2013,Primary (%),Male,Undefined,Units,Percentage (%),96.59442724458204
2013,Secondary (%),Male,Undefined,Units,Percentage (%),94.92325855962221
2013,All public schools (%),Male,Undefined,Units,Percentage (%),94.4488501189532
2013,Nursery (%),Female,Undefined,Units,Percentage (%),100.0
2013,Primary (%),Female,Undefined,Units,Percentage (%),97.79164666346615
2013,Secondary (%),Female,Undefined,Units,Percentage (%),94.62950373895308
2013,All public schools (%),Female,Undefined,Units,Percentage (%),96.1608300907912
2014,Nursery (%),,Undefined,Units,Percentage (%),100.0
2014,Primary (%),,Undefined,Units,Percentage (%),97.0539419087137
2014,Secondary (%),,Undefined,Units,Percentage (%),94.05594405594404
2014,All public schools (%),,Undefined,Units,Percentage (%),95.16773162939295
2014,Nursery (%),Male,Undefined,Units,Percentage (%),100.0
2014,Primary (%),Male,Undefined,Units,Percentage (%),95.48192771084337
2014,Secondary (%),Male,Undefined,Units,Percentage (%),94.33051869722557
2014,All public schools (%),Male,Undefined,Units,Percentage (%),93.86602098466506
2014,Nursery (%),Female,Undefined,Units,Percentage (%),93.33333333333331
2014,Primary (%),Female,Undefined,Units,Percentage (%),97.39884393063585
2014,Secondary (%),Female,Undefined,Units,Percentage (%),93.89155799588195
2014,All public schools (%),Female,Undefined,Units,Percentage (%),95.59214020180563
2015,Nursery (%),,Undefined,Units,Percentage (%),93.33333333333331
2015,Primary (%),,Undefined,Units,Percentage (%),96.78469678469679
2015,Secondary (%),,Undefined,Units,Percentage (%),93.5540838852097
2015,All public schools (%),,Undefined,Units,Percentage (%),94.7117296222664
2015,Nursery (%),Male,Undefined,Units,Percentage (%),100.0
2015,Primary (%),Male,Undefined,Units,Percentage (%),94.79768786127168
2015,Secondary (%),Male,Undefined,Units,Percentage (%),93.88753056234721
