Year,Unit measure,Observation status,Country group,Product sector,Value
2005,Percentage (%),Undefined,Developing countries,,3.51210809496
2005,Percentage (%),Undefined,Developing countries,AGRI,6.638912105607243
2005,Percentage (%),Undefined,Developing countries,FISH,6.761435638887275
2005,Percentage (%),Undefined,Developing countries,NAMA,3.186124409808408
2005,Percentage (%),Undefined,Developing countries,PAPS,10.94441396146251
2005,Percentage (%),Undefined,Least developed countries,,3.0071341512137346
2005,Percentage (%),Undefined,Least developed countries,AGRI,3.418079179800229
2005,Percentage (%),Undefined,Least developed countries,FISH,0.2749999999999999
2005,Percentage (%),Undefined,Least developed countries,NAMA,3.3679087098276543
2005,Percentage (%),Undefined,Least developed countries,PAPS,2.3504460675757075
2005,Percentage (%),Undefined,Small island developing states,,2.862527931622042
2005,Percentage (%),Undefined,Small island developing states,AGRI,3.180490506134733
2005,Percentage (%),Undefined,Small island developing states,FISH,0.75
2005,Percentage (%),Undefined,Small island developing states,NAMA,2.8691046150772688
2005,Percentage (%),Undefined,Small island developing states,PAPS,6.7328945445415815
2006,Percentage (%),Undefined,Developing countries,,3.41771436515008
2006,Percentage (%),Undefined,Developing countries,AGRI,6.525799659534348
2006,Percentage (%),Undefined,Developing countries,FISH,6.896576552472913
2006,Percentage (%),Undefined,Developing countries,NAMA,3.0861082234238157
2006,Percentage (%),Undefined,Developing countries,PAPS,10.65518690540818
2006,Percentage (%),Undefined,Least developed countries,,3.053041682503562
2006,Percentage (%),Undefined,Least developed countries,AGRI,2.858750704199016
2006,Percentage (%),Undefined,Least developed countries,FISH,3.8
2006,Percentage (%),Undefined,Least developed countries,NAMA,3.3801209836182573
2006,Percentage (%),Undefined,Least developed countries,PAPS,4.316240056027828
2006,Percentage (%),Undefined,Small island developing states,,3.1216999571042714
2006,Percentage (%),Undefined,Small island developing states,AGRI,2.577731983331467
2006,Percentage (%),Undefined,Small island developing states,FISH,1.0
2006,Percentage (%),Undefined,Small island developing states,NAMA,3.1244470067054992
2006,Percentage (%),Undefined,Small island developing states,PAPS,8.584722415729242
2007,Percentage (%),Undefined,Developing countries,,3.659740208521991
2007,Percentage (%),Undefined,Developing countries,AGRI,6.6675484577050845
2007,Percentage (%),Undefined,Developing countries,FISH,6.461495997890625
2007,Percentage (%),Undefined,Developing countries,NAMA,3.231609173315804
2007,Percentage (%),Undefined,Developing countries,PAPS,10.675807968009396
2007,Percentage (%),Undefined,Least developed countries,,3.129601533070442
2007,Percentage (%),Undefined,Least developed countries,AGRI,3.5198853171978697
2007,Percentage (%),Undefined,Least developed countries,FISH,1.6658509664786616
2007,Percentage (%),Undefined,Least developed countries,NAMA,2.9364316654447773
2007,Percentage (%),Undefined,Least developed countries,PAPS,7.570735142070166
2007,Percentage (%),Undefined,Small island developing states,,3.129601533070442
2007,Percentage (%),Undefined,Small island developing states,AGRI,3.5198853171978697
2007,Percentage (%),Undefined,Small island developing states,FISH,1.6658509664786616
