Year,Series,Sex,Age,Region,Disability status,Ethnicity,Nationality,Country of birth,Observation status,Unit multiplier,Units,GeoCode,Value
2000 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,20.7645987317
2000 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,20.467359793903977
2000 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,20.323510314701156
2000 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.980767388617952
2001 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.91395055814699
2001 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.688786471715527
2001 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.419691621496987
2001 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.502416416851812
2002 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.289534034828755
2002 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,18.991936958364164
2002 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,19.101967943551383
2002 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,18.947070315720453
2003 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,18.39228828914934
2003 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,18.003352199939076
2003 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,17.312313201350612
2003 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,17.093714571826137
2004 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.96248121258877
2004 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.525199201778488
2004 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.78272107640573
2004 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.685309976578797
2005 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.35570663902441
2005 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.458460162271212
2005 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.215544536405712
2005 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.986974686978298
2006 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.0262203671301
2006 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,16.070017574494145
2006 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.755594116246748
2006 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.597698738554769
2007 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.62426019866081
2007 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.869604875431088
2007 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.432861972295994
2007 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,15.194228444723674
2008 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.923998204656318
2008 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.750245317765003
2008 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.480926482518672
2008 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.158332700347865
2009 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.679577272668968
2009 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.595332729576567
2009 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.703825767239277
2009 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.708866744709583
2010 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.055319383824711
2010 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.247058286679708
2010 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.02806115607865
2010 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.085460163997183
2011 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.951120443274489
2011 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.83530714803556
2011 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.831922131993313
2011 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.010402034133593
2012 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.755151952319784
2012 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.923578916098611
2012 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.900206424076575
2012 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.753700754457828
2013 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.087789384665207
2013 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.83220064543636
2013 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.902693828170728
2013 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.759395251371432
2014 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.575929312806268
2014 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.751251172134582
2014 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.690757020771844
2014 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,14.001172993339203
2015 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.698568129537096
2015 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.79586918344956
2015 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.281891215982029
2015 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.448783187269818
2016 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.64079141695626
2016 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.65932277259426
2016 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.279995929856923
2016 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,13.003351777900225
2017 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.923885687225011
2017 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.937280943572638
