Year,Series,Beverage,Sex,Observation status,Unit multiplier,Units,Value
2019,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.8
2018,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.01
2017,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.88
2016,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.69
2015,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.59
2014,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.45
2013,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.42
2012,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.53
2011,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.8
2010,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.01
2009,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.98
2008,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.66
2007,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.06
2006,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.93
2005,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.38
2004,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.58
2003,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.28
2002,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.33
2001,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.31
2000,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.82
1999,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.16
1998,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.14
1997,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.97
1996,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.75
1995,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.7
1994,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.41
1993,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.45
1992,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.65
1991,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.01
1990,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.96
1989,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.99
1988,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.94
1987,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.53
1986,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.26
1985,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.24
1984,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.16
1983,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.1
1982,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.91
1981,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.27
1980,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.71
1979,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.24
1978,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.89
1977,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.28
