Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnic Group,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.476202364
2001,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.45778330799999
2002,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.26788154
2003,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.884131912
2004,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.762285146
2005,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.901680088
2006,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.883584704
2007,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.522869107
2008,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.215976081
2009,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.401201944
2010,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.802764893
2011,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.643590372
2012,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.161524765
2013,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.341447137
2014,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.455231805
2015,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.150206219
2016,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.464657978
2017,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.713497556
2018,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.533282256261896
2000,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0271710981029478
2001,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0152250732732026
2002,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0151602751872938
2003,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0268291340652164
2004,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0083402329300285
2005,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.016552653095654
2006,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0131520396996948
2007,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0081540695126271
2008,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0097050047350718
2009,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0096369308777962
2010,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0111536976993554
2011,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0126411972351489
2012,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0031394695206956
2013,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.010919473655163
2014,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0046441963521633
2015,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0092151695082819
2016,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0091396463937834
2017,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0090853712817985
2018,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.0090313092914862
2000,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.6406910968802486
2001,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.659312798386061
2002,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.467755905487273
2003,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.2435863362037267
2004,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.035016834926974
2005,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.213089718888941
2006,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.278590877972137
