Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2000,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,175.263
2001,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,168.8858
2002,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,175.2724
2003,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,170.6334
2004,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,173.8599
2005,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,172.3503
2006,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,167.6477
2007,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,161.9506
2008,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,169.1748
2009,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,163.6012
2010,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,160.5682
2011,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,165.0108
2012,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,159.181
2013,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,169.7742
2014,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,181.0601
2015,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,174.7963
2016,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,168.4492
2017,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,182.6595
2018,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,174.6735
2000,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,240.5836
2001,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,242.2288
2002,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,231.5085
2003,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,244.3185
2004,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,254.1608
2005,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,250.8326
2006,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,245.6999
2007,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,239.3964
2008,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,226.3078
2009,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,208.7325
2010,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,193.3404
