Year,Units,Unit measure,Observation status,Unit multiplier,Value
1918,House of Commons,Percentage (%),Undefined,Units,0.1
1922,House of Commons,Percentage (%),Undefined,Units,0.3
1923,House of Commons,Percentage (%),Undefined,Units,1.3
1924,House of Commons,Percentage (%),Undefined,Units,0.7
1929,House of Commons,Percentage (%),Undefined,Units,2.3
1931,House of Commons,Percentage (%),Undefined,Units,2.4
1935,House of Commons,Percentage (%),Undefined,Units,1.5
1945,House of Commons,Percentage (%),Undefined,Units,3.8
1950,House of Commons,Percentage (%),Undefined,Units,3.4
1951,House of Commons,Percentage (%),Undefined,Units,2.7
1955,House of Commons,Percentage (%),Undefined,Units,3.8
1959,House of Commons,Percentage (%),Undefined,Units,4.0
1964,House of Commons,Percentage (%),Undefined,Units,4.6
1966,House of Commons,Percentage (%),Undefined,Units,4.1
1970,House of Commons,Percentage (%),Undefined,Units,4.1
1974a,House of Commons,Percentage (%),Undefined,Units,3.6
1974b,House of Commons,Percentage (%),Undefined,Units,4.3
1979,House of Commons,Percentage (%),Undefined,Units,3.0
1983,House of Commons,Percentage (%),Undefined,Units,3.5
1987,House of Commons,Percentage (%),Undefined,Units,6.3
1992,House of Commons,Percentage (%),Undefined,Units,9.2
1997,House of Commons,Percentage (%),Undefined,Units,18.2
2001,House of Commons,Percentage (%),Undefined,Units,17.9
2005,House of Commons,Percentage (%),Undefined,Units,19.8
2010,House of Commons,Percentage (%),Undefined,Units,22.0
2015,House of Commons,Percentage (%),Undefined,Units,29.4
2017,House of Commons,Percentage (%),Undefined,Units,31.8952234206
1958,House of Lords,Percentage (%),Undefined,Units,0.452488687783
1959,House of Lords,Percentage (%),Undefined,Units,0.555555555556
1960,House of Lords,Percentage (%),Undefined,Units,0.551876379691
1961,House of Lords,Percentage (%),Undefined,Units,0.653594771242
1962,House of Lords,Percentage (%),Undefined,Units,0.751879699248
1963,House of Lords,Percentage (%),Undefined,Units,0.758396533044
1964,House of Lords,Percentage (%),Undefined,Units,2.66666666667
1965,House of Lords,Percentage (%),Undefined,Units,3.03921568627
1966,House of Lords,Percentage (%),Undefined,Units,3.38164251208
1967,House of Lords,Percentage (%),Undefined,Units,3.52716873213
1968,House of Lords,Percentage (%),Undefined,Units,3.58152686145
1969,House of Lords,Percentage (%),Undefined,Units,3.47744360902
1970,House of Lords,Percentage (%),Undefined,Units,3.78927911275
1971,House of Lords,Percentage (%),Undefined,Units,4.07784986098
1972,House of Lords,Percentage (%),Undefined,Units,4.08921933086
1973,House of Lords,Percentage (%),Undefined,Units,4.27112349118
1974,House of Lords,Percentage (%),Undefined,Units,4.15913200723
1975,House of Lords,Percentage (%),Undefined,Units,4.6511627907
1976,House of Lords,Percentage (%),Undefined,Units,4.83729111697
1977,House of Lords,Percentage (%),Undefined,Units,4.82456140351
1978,House of Lords,Percentage (%),Undefined,Units,4.7619047619
1979,House of Lords,Percentage (%),Undefined,Units,5.204778157
1980,House of Lords,Percentage (%),Undefined,Units,5.04273504274
1981,House of Lords,Percentage (%),Undefined,Units,5.26762956669
1982,House of Lords,Percentage (%),Undefined,Units,5.27210884354
1983,House of Lords,Percentage (%),Undefined,Units,5.36013400335
1985,House of Lords,Percentage (%),Undefined,Units,5.45144804089
1986,House of Lords,Percentage (%),Undefined,Units,5.46541417592
1987,House of Lords,Percentage (%),Undefined,Units,5.65400843882
1988,House of Lords,Percentage (%),Undefined,Units,5.48523206751
1989,House of Lords,Percentage (%),Undefined,Units,5.49450549451
1990,House of Lords,Percentage (%),Undefined,Units,6.15514333895
1991,House of Lords,Percentage (%),Undefined,Units,6.6889632107
1992,House of Lords,Percentage (%),Undefined,Units,6.4381270903
