Year,Sex,Occupation minor group,Occupation unit group,Unit measure,Observation status,Unit multiplier,Value
2011,,Health professionals,,"Rate per 10,000 population",Undefined,Units,75.673050919
2011,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.1214264421769
2011,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,3.89096050897884
2011,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.84528043666487
2011,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.01618966030653
2011,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.32810661964984
2011,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.13303943603194
2011,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.83155146440764
2011,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.19766297446264
2011,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,21.0170965081931
2011,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,7.25415103339022
2011,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,5.23061138597375
2011,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,2.19277367540202
2011,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.33956041342719
2011,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,95.3512866250049
2011,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,89.7654575967235
2011,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,5.58582902828143
2011,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,21.0550200998986
2011,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,2.14268293135774
2011,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.65812316618694
2011,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.08081319873723
2011,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,8.03837930686577
2011,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,74.0814487862097
2011,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,45.7416520214852
2011,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.71450628494299
2011,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.32338689400245
2011,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.29611043854379
2011,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,6.9269770689436
2011,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,4.18943676032669
2011,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,22.840598266233
2011,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,22.4772221886179
2011,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,11.4994057836415
2011,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,3.6488746484055
2011,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,3.47683376210102
2011,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,77.2107245564371
2011,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,30.7593981164218
2011,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.2814900611988
2011,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.9038572461701
2011,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.5075307524079
2011,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,4.36654957706759
2011,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.23557570696006
2011,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.00090176782656
2011,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,34.6297983036226
2011,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,12.5071898166906
2011,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,9.39452811532885
2011,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,4.31124926936798
2011,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,8.41683110223517
2011,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,165.405084384852
2011,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,154.773755567544
2011,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,10.6313288173072
2011,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,30.2868600938874
2011,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,7.77870283248797
2011,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.46423315902137
2011,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.445365315386
2012,,Health professionals,,"Rate per 10,000 population",Undefined,Units,74.27765
2012,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.43708
2012,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.133347
2012,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.012004
2012,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.134838
2012,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.509141
2012,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.26701
2012,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.324699
2012,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.873005
2012,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,19.33395
2012,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,6.643588
2012,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,4.439838
2012,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,1.871281
2012,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.379245
2012,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,95.7838
2012,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,89.98348
2012,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,5.800327
2012,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.43033
2012,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.765637
2012,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.856604
2012,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,5.971899
2012,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.357034
2012,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.479158
2012,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,64.77712
2012,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.75559
2012,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.361152
2012,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.617701
2012,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.951433
2012,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,4.754237
2012,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.712266
2012,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.262311
2012,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,7.144449
2012,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,2.25194
2012,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.529274
2012,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,22.28661
2012,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,22.10554
2012,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,14.55299
2012,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.054578
2012,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.631156
2012,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.065102
2012,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.802152
2012,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,83.46298
2012,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,32.22866
2012,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,7.813569
2012,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,10.36005
2012,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.312159
2012,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.239
2012,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.736996
2012,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.574878
2012,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,12.33073
2012,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,31.11905
2012,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,10.88954
2012,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,7.414369
2012,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.680479
2012,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.134664
2012,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,166.8426
2012,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,155.6094
2012,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,11.23316
2012,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,32.01316
2012,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.486282
2012,Female,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,1.684789
2012,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,10.16863
2012,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,4.672457
2012,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.001
2013,,Health professionals,,"Rate per 10,000 population",Undefined,Units,76.22385
2013,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,37.57781
2013,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.978412
2013,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.083931
2013,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.167427
2013,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.666651
2013,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,3.693122
2013,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.311185
2013,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.761962
2013,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,23.29436
2013,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.088054
2013,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,6.106638
2013,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.106278
2013,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.993387
2013,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,99.78777
2013,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,92.53895
2013,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,7.248815
2013,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.77263
2013,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.917039
2013,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.728641
2013,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.216477
2013,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.248279
2013,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.662195
2013,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,67.19147
