Year,Country,Region,Type of disease,Chronic respiratory disease type,Sex,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013,England,,Cancer,,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,11.52
2013,England,,Cancer,,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,19.65
2013,England,,Cancer,,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,36.36
2013,England,,Cancer,,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,66.59
2013,England,,Cancer,,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,120.61
2013,England,,Cancer,,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,217.13
2013,England,,Cancer,,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,370.71
2013,England,,Cancer,,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,561.96
2013,England,,Cancer,,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,9.88
2013,England,,Cancer,,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,16.12
2013,England,,Cancer,,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,29.88
2013,England,,Cancer,,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,61.3
2013,England,,Cancer,,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,117.3
2013,England,,Cancer,,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,227.01
2013,England,,Cancer,,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,419.17
2013,England,,Cancer,,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,641.83
2013,England,,Cancer,,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,13.13
2013,England,,Cancer,,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,23.17
2013,England,,Cancer,,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,42.72
2013,England,,Cancer,,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,71.75
2013,England,,Cancer,,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,123.86
2013,England,,Cancer,,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,207.48
2013,England,,Cancer,,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,324.18
2013,England,,Cancer,,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,486.28
2013,England,,Diabetes,,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.54
2013,England,,Diabetes,,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.86
2013,England,,Diabetes,,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,1.5
2013,England,,Diabetes,,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,1.99
2013,England,,Diabetes,,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,3.01
2013,England,,Diabetes,,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,3.79
2013,England,,Diabetes,,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,6.05
2013,England,,Diabetes,,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,9.12
2013,England,,Diabetes,,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.71
2013,England,,Diabetes,,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.95
2013,England,,Diabetes,,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,2.08
2013,England,,Diabetes,,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,2.11
2013,England,,Diabetes,,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,4.07
2013,England,,Diabetes,,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,4.81
2013,England,,Diabetes,,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,6.94
2013,England,,Diabetes,,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,11.83
2013,England,,Diabetes,,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.38
2013,England,,Diabetes,,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.77
2013,England,,Diabetes,,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.94
2013,England,,Diabetes,,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,1.86
2013,England,,Diabetes,,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,1.97
2013,England,,Diabetes,,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,2.79
2013,England,,Diabetes,,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,5.2
2013,England,,Diabetes,,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,6.54
2013,England,,Cardiovascular disease,,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,6.68
2013,England,,Cardiovascular disease,,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,12.35
2013,England,,Cardiovascular disease,,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,23.98
2013,England,,Cardiovascular disease,,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,41.47
2013,England,,Cardiovascular disease,,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,69.38
2013,England,,Cardiovascular disease,,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,112.16
2013,England,,Cardiovascular disease,,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,173.96
2013,England,,Cardiovascular disease,,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,270.07
2013,England,,Cardiovascular disease,,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,9.23
2013,England,,Cardiovascular disease,,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,17.01
2013,England,,Cardiovascular disease,,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,33.45
2013,England,,Cardiovascular disease,,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,59.6
2013,England,,Cardiovascular disease,,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,100.68
2013,England,,Cardiovascular disease,,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,163.16
2013,England,,Cardiovascular disease,,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,254.93
2013,England,,Cardiovascular disease,,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,380.93
2013,England,,Cardiovascular disease,,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,4.16
2013,England,,Cardiovascular disease,,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,7.7
2013,England,,Cardiovascular disease,,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,14.69
2013,England,,Cardiovascular disease,,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,23.77
2013,England,,Cardiovascular disease,,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,38.64
2013,England,,Cardiovascular disease,,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,62.3
2013,England,,Cardiovascular disease,,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,96.21
2013,England,,Cardiovascular disease,,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,165.01
2013,England,,Chronic respiratory disease,Other diseases of upper respiratory tract,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.16
2013,England,,Chronic respiratory disease,Other diseases of upper respiratory tract,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,0.1
2013,England,,Chronic respiratory disease,Other diseases of upper respiratory tract,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.14
2013,England,,Chronic respiratory disease,Other diseases of upper respiratory tract,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.19
2013,England,,Chronic respiratory disease,Other diseases of upper respiratory tract,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.2
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.46
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.83
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,2.06
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,3.21
