Year,Region,Local Authority,County,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010.0,,,,Undefined,Units,Percentage (%),,5.6
2010.0,North East,,,Undefined,Units,Percentage (%),E12000001,4.6
2010.0,North West,,,Undefined,Units,Percentage (%),E12000002,5.1
2010.0,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,5.3
2010.0,East Midlands,,,Undefined,Units,Percentage (%),E12000004,5.7
2010.0,West Midlands,,,Undefined,Units,Percentage (%),E12000005,5.7
2010.0,East of England,,,Undefined,Units,Percentage (%),E12000006,5.6
2010.0,London,,,Undefined,Units,Percentage (%),E12000007,7.2
2010.0,South East,,,Undefined,Units,Percentage (%),E12000008,5.5
2010.0,South West,,,Undefined,Units,Percentage (%),E12000009,4.7
2010.0,North East,Hartlepool,,Undefined,Units,Percentage (%),E06000001,4.7
2010.0,North East,Middlesbrough,,Undefined,Units,Percentage (%),E06000002,5.0
2010.0,North East,Redcar and Cleveland,,Undefined,Units,Percentage (%),E06000003,4.5
2010.0,North East,Stockton-on-Tees,,Undefined,Units,Percentage (%),E06000004,4.6
2010.0,North East,Darlington,,Undefined,Units,Percentage (%),E06000005,4.5
2010.0,North West,Halton,,Undefined,Units,Percentage (%),E06000006,5.5
2010.0,North West,Warrington,,Undefined,Units,Percentage (%),E06000007,5.4
2010.0,North West,Blackburn with Darwen,,Undefined,Units,Percentage (%),E06000008,5.1
2010.0,North West,Blackpool,,Undefined,Units,Percentage (%),E06000009,4.3
2010.0,Yorkshire and The Humber,Kingston upon Hull,,Undefined,Units,Percentage (%),E06000010,5.9
2010.0,Yorkshire and The Humber,East Riding of Yorkshire,,Undefined,Units,Percentage (%),E06000011,4.9
2010.0,Yorkshire and The Humber,North East Lincolnshire,,Undefined,Units,Percentage (%),E06000012,5.6
2010.0,Yorkshire and The Humber,North Lincolnshire,,Undefined,Units,Percentage (%),E06000013,5.5
2010.0,Yorkshire and The Humber,York,,Undefined,Units,Percentage (%),E06000014,4.8
2010.0,East Midlands,Derby,,Undefined,Units,Percentage (%),E06000015,6.1
2010.0,East Midlands,Leicester,,Undefined,Units,Percentage (%),E06000016,6.6
2010.0,East Midlands,Rutland,,Undefined,Units,Percentage (%),E06000017,5.1
2010.0,East Midlands,Nottingham,,Undefined,Units,Percentage (%),E06000018,6.4
2010.0,West Midlands,Herefordshire,,Undefined,Units,Percentage (%),E06000019,4.5
2010.0,West Midlands,Telford and Wrekin,,Undefined,Units,Percentage (%),E06000020,4.8
2010.0,West Midlands,Stoke-on-Trent,,Undefined,Units,Percentage (%),E06000021,5.6
2010.0,South West,Bath and North East Somerset,,Undefined,Units,Percentage (%),E06000022,4.9
2010.0,South West,Bristol,,Undefined,Units,Percentage (%),E06000023,5.8
2010.0,South West,North Somerset,,Undefined,Units,Percentage (%),E06000024,4.6
2010.0,South West,South Gloucestershire,,Undefined,Units,Percentage (%),E06000025,5.4
2010.0,South West,Plymouth,,Undefined,Units,Percentage (%),E06000026,4.5
2010.0,South West,Torbay,,Undefined,Units,Percentage (%),E06000027,4.0
2010.0,South West,Bournemouth,,Undefined,Units,Percentage (%),E06000028,5.1
2010.0,South West,Poole,,Undefined,Units,Percentage (%),E06000029,5.2
2010.0,South West,Swindon,,Undefined,Units,Percentage (%),E06000030,5.8
2010.0,East of England,Peterborough,,Undefined,Units,Percentage (%),E06000031,5.7
2010.0,East of England,Luton,,Undefined,Units,Percentage (%),E06000032,6.4
