Year,Type of government,Unit measure,Unit multiplier,Observation status,Value
1998,Central government,Percentage (%),Units,Undefined,82.2881845331
1999,Central government,Percentage (%),Units,Undefined,84.98643545550925
2000,Central government,Percentage (%),Units,Undefined,87.35143303708804
2001,Central government,Percentage (%),Units,Undefined,84.30074858541282
2002,Central government,Percentage (%),Units,Undefined,79.45774028980537
2003,Central government,Percentage (%),Units,Undefined,75.6588721579626
2004,Central government,Percentage (%),Units,Undefined,76.06908459702942
2005,Central government,Percentage (%),Units,Undefined,76.80080404784603
2006,Central government,Percentage (%),Units,Undefined,77.0310755319084
2007,Central government,Percentage (%),Units,Undefined,77.65754234905121
2008,Central government,Percentage (%),Units,Undefined,73.03109577145872
2009,Central government,Percentage (%),Units,Undefined,64.26666897369127
2010,Central government,Percentage (%),Units,Undefined,65.29501779932669
2011,Central government,Percentage (%),Units,Undefined,68.04623468714476
2012,Central government,Percentage (%),Units,Undefined,65.98000218673147
2013,Central government,Percentage (%),Units,Undefined,68.36025410715025
2014,Central government,Percentage (%),Units,Undefined,69.40121090595818
2015,Central government,Percentage (%),Units,Undefined,71.87005265661554
2016,Central government,Percentage (%),Units,Undefined,74.94032953210352
2017,Central government,Percentage (%),Units,Undefined,76.82004483101319
2018,Central government,Percentage (%),Units,Undefined,77.56063744274371
2019,Central government,Percentage (%),Units,Undefined,77.69936465978958
1998,Local government,Percentage (%),Units,Undefined,66.35292724797253
1999,Local government,Percentage (%),Units,Undefined,71.45039962388341
2000,Local government,Percentage (%),Units,Undefined,66.8741216623168
2001,Local government,Percentage (%),Units,Undefined,75.83311466806613
2002,Local government,Percentage (%),Units,Undefined,78.05359522281992
2003,Local government,Percentage (%),Units,Undefined,87.79667721518987
2004,Local government,Percentage (%),Units,Undefined,82.7095937770095
2005,Local government,Percentage (%),Units,Undefined,77.76240439678696
2006,Local government,Percentage (%),Units,Undefined,88.80149812734082
2007,Local government,Percentage (%),Units,Undefined,79.63756061303225
2008,Local government,Percentage (%),Units,Undefined,73.7198158413981
2009,Local government,Percentage (%),Units,Undefined,71.24340884319675
2010,Local government,Percentage (%),Units,Undefined,87.4116032790346
2011,Local government,Percentage (%),Units,Undefined,81.4128565402213
2012,Local government,Percentage (%),Units,Undefined,95.41528987683988
2013,Local government,Percentage (%),Units,Undefined,80.75055726892424
2014,Local government,Percentage (%),Units,Undefined,90.40472342250224
2015,Local government,Percentage (%),Units,Undefined,83.73976530401112
2016,Local government,Percentage (%),Units,Undefined,71.98963655294317
2017,Local government,Percentage (%),Units,Undefined,76.59300004867838
2018,Local government,Percentage (%),Units,Undefined,80.47787065760497
2019,Local government,Percentage (%),Units,Undefined,79.12383641417038
