Year,Productivity,Outputs,Inputs,Observation status,Unit multiplier,Unit measure,Value
1973,,All outputs,,Undefined,Units,Index,100.0
1974,,All outputs,,Undefined,Units,Index,103.1
1975,,All outputs,,Undefined,Units,Index,99.1
1976,,All outputs,,Undefined,Units,Index,96.5
1977,,All outputs,,Undefined,Units,Index,103.0
1978,,All outputs,,Undefined,Units,Index,107.6
1979,,All outputs,,Undefined,Units,Index,110.1
1980,,All outputs,,Undefined,Units,Index,113.1
1981,,All outputs,,Undefined,Units,Index,113.1
1982,,All outputs,,Undefined,Units,Index,120.2
1983,,All outputs,,Undefined,Units,Index,118.9
1984,,All outputs,,Undefined,Units,Index,128.6
1985,,All outputs,,Undefined,Units,Index,124.5
1986,,All outputs,,Undefined,Units,Index,125.7
1987,,All outputs,,Undefined,Units,Index,123.9
1988,,All outputs,,Undefined,Units,Index,123.9
1989,,All outputs,,Undefined,Units,Index,125.8
1990,,All outputs,,Undefined,Units,Index,125.3
1991,,All outputs,,Undefined,Units,Index,127.7
1992,,All outputs,,Undefined,Units,Index,128.1
1993,,All outputs,,Undefined,Units,Index,125.0
1994,,All outputs,,Undefined,Units,Index,127.2
1995,,All outputs,,Undefined,Units,Index,127.3
1996,,All outputs,,Undefined,Units,Index,126.1
1997,,All outputs,,Undefined,Units,Index,126.5
1998,,All outputs,,Undefined,Units,Index,126.3
1999,,All outputs,,Undefined,Units,Index,128.1
2000,,All outputs,,Undefined,Units,Index,123.9
2001,,All outputs,,Undefined,Units,Index,119.3
2002,,All outputs,,Undefined,Units,Index,123.6
2003,,All outputs,,Undefined,Units,Index,122.4
2004,,All outputs,,Undefined,Units,Index,123.4
2005,,All outputs,,Undefined,Units,Index,124.9
2006,,All outputs,,Undefined,Units,Index,121.0
2007,,All outputs,,Undefined,Units,Index,120.0
2008,,All outputs,,Undefined,Units,Index,125.4
2009,,All outputs,,Undefined,Units,Index,122.5
2010,,All outputs,,Undefined,Units,Index,124.2
2011,,All outputs,,Undefined,Units,Index,129.7
2012,,All outputs,,Undefined,Units,Index,123.0
2013,,All outputs,,Undefined,Units,Index,125.3
2014,,All outputs,,Undefined,Units,Index,134.1
2015,,All outputs,,Undefined,Units,Index,137.0
2016,,All outputs,,Undefined,Units,Index,133.5
2017,,All outputs,,Undefined,Units,Index,138.0
2018,,All outputs,,Undefined,Units,Index,135.5
1973,,,All inputs,Undefined,Units,Index,100.0
1974,,,All inputs,Undefined,Units,Index,97.0
1975,,,All inputs,Undefined,Units,Index,96.7
1976,,,All inputs,Undefined,Units,Index,98.3
1977,,,All inputs,Undefined,Units,Index,97.9
1978,,,All inputs,Undefined,Units,Index,98.4
1979,,,All inputs,Undefined,Units,Index,100.5
1980,,,All inputs,Undefined,Units,Index,98.6
1981,,,All inputs,Undefined,Units,Index,96.9
1982,,,All inputs,Undefined,Units,Index,100.6
1983,,,All inputs,Undefined,Units,Index,101.9
1984,,,All inputs,Undefined,Units,Index,100.8
1985,,,All inputs,Undefined,Units,Index,101.4
1986,,,All inputs,Undefined,Units,Index,101.9
1987,,,All inputs,Undefined,Units,Index,101.7
1988,,,All inputs,Undefined,Units,Index,102.2
1989,,,All inputs,Undefined,Units,Index,100.6
1990,,,All inputs,Undefined,Units,Index,99.6
1991,,,All inputs,Undefined,Units,Index,98.9
1992,,,All inputs,Undefined,Units,Index,98.1
1993,,,All inputs,Undefined,Units,Index,98.0
1994,,,All inputs,Undefined,Units,Index,98.8
1995,,,All inputs,Undefined,Units,Index,100.1
1996,,,All inputs,Undefined,Units,Index,99.9
1997,,,All inputs,Undefined,Units,Index,98.8
1998,,,All inputs,Undefined,Units,Index,96.3
1999,,,All inputs,Undefined,Units,Index,93.7
2000,,,All inputs,Undefined,Units,Index,88.9
2001,,,All inputs,Undefined,Units,Index,87.3
2002,,,All inputs,Undefined,Units,Index,85.3
2003,,,All inputs,Undefined,Units,Index,84.3
2004,,,All inputs,Undefined,Units,Index,84.7
2005,,,All inputs,Undefined,Units,Index,83.2
2006,,,All inputs,Undefined,Units,Index,81.8
2007,,,All inputs,Undefined,Units,Index,82.3
2008,,,All inputs,Undefined,Units,Index,82.6
2009,,,All inputs,Undefined,Units,Index,83.0
2010,,,All inputs,Undefined,Units,Index,84.4
2011,,,All inputs,Undefined,Units,Index,84.3
2012,,,All inputs,Undefined,Units,Index,84.4
2013,,,All inputs,Undefined,Units,Index,85.6
2014,,,All inputs,Undefined,Units,Index,86.4
2015,,,All inputs,Undefined,Units,Index,87.4
2016,,,All inputs,Undefined,Units,Index,87.6
2017,,,All inputs,Undefined,Units,Index,88.2
2018,,,All inputs,Undefined,Units,Index,88.4
1973,,,Labour inputs,Undefined,Units,Index,100.0
1974,,,Labour inputs,Undefined,Units,Index,98.3
1975,,,Labour inputs,Undefined,Units,Index,96.6
1976,,,Labour inputs,Undefined,Units,Index,94.7
1977,,,Labour inputs,Undefined,Units,Index,93.0
1978,,,Labour inputs,Undefined,Units,Index,91.9
1979,,,Labour inputs,Undefined,Units,Index,90.3
1980,,,Labour inputs,Undefined,Units,Index,88.1
1981,,,Labour inputs,Undefined,Units,Index,86.3
1982,,,Labour inputs,Undefined,Units,Index,85.2
1983,,,Labour inputs,Undefined,Units,Index,84.3
1984,,,Labour inputs,Undefined,Units,Index,83.3
1985,,,Labour inputs,Undefined,Units,Index,82.3
1986,,,Labour inputs,Undefined,Units,Index,80.9
1987,,,Labour inputs,Undefined,Units,Index,79.4
1988,,,Labour inputs,Undefined,Units,Index,77.6
1989,,,Labour inputs,Undefined,Units,Index,75.9
1990,,,Labour inputs,Undefined,Units,Index,74.3
1991,,,Labour inputs,Undefined,Units,Index,73.0
1992,,,Labour inputs,Undefined,Units,Index,71.8
1993,,,Labour inputs,Undefined,Units,Index,70.6
1994,,,Labour inputs,Undefined,Units,Index,69.2
1995,,,Labour inputs,Undefined,Units,Index,67.7
1996,,,Labour inputs,Undefined,Units,Index,66.6
1997,,,Labour inputs,Undefined,Units,Index,65.5
1998,,,Labour inputs,Undefined,Units,Index,64.0
1999,,,Labour inputs,Undefined,Units,Index,61.6
2000,,,Labour inputs,Undefined,Units,Index,59.1
2001,,,Labour inputs,Undefined,Units,Index,57.3
2002,,,Labour inputs,Undefined,Units,Index,55.7
2003,,,Labour inputs,Undefined,Units,Index,54.1
2004,,,Labour inputs,Undefined,Units,Index,53.2
2005,,,Labour inputs,Undefined,Units,Index,52.6
2006,,,Labour inputs,Undefined,Units,Index,51.9
2007,,,Labour inputs,Undefined,Units,Index,51.5
2008,,,Labour inputs,Undefined,Units,Index,51.3
2009,,,Labour inputs,Undefined,Units,Index,50.5
2010,,,Labour inputs,Undefined,Units,Index,50.3
2011,,,Labour inputs,Undefined,Units,Index,51.1
2012,,,Labour inputs,Undefined,Units,Index,51.1
2013,,,Labour inputs,Undefined,Units,Index,50.7
2014,,,Labour inputs,Undefined,Units,Index,50.8
2015,,,Labour inputs,Undefined,Units,Index,50.9
2016,,,Labour inputs,Undefined,Units,Index,50.5
2017,,,Labour inputs,Undefined,Units,Index,50.9
2018,,,Labour inputs,Undefined,Units,Index,51.3
1973,Total factor productivity,,,Undefined,Units,Index,100.0
1974,Total factor productivity,,,Undefined,Units,Index,106.3
1975,Total factor productivity,,,Undefined,Units,Index,102.5
1976,Total factor productivity,,,Undefined,Units,Index,98.2
1977,Total factor productivity,,,Undefined,Units,Index,105.2
1978,Total factor productivity,,,Undefined,Units,Index,109.3
1979,Total factor productivity,,,Undefined,Units,Index,109.6
1980,Total factor productivity,,,Undefined,Units,Index,114.7
1981,Total factor productivity,,,Undefined,Units,Index,116.7
1982,Total factor productivity,,,Undefined,Units,Index,119.5
1983,Total factor productivity,,,Undefined,Units,Index,116.7
1984,Total factor productivity,,,Undefined,Units,Index,127.6
1985,Total factor productivity,,,Undefined,Units,Index,122.8
1986,Total factor productivity,,,Undefined,Units,Index,123.3
1987,Total factor productivity,,,Undefined,Units,Index,121.8
1988,Total factor productivity,,,Undefined,Units,Index,121.3
1989,Total factor productivity,,,Undefined,Units,Index,125.1
1990,Total factor productivity,,,Undefined,Units,Index,125.8
1991,Total factor productivity,,,Undefined,Units,Index,129.2
1992,Total factor productivity,,,Undefined,Units,Index,130.7
1993,Total factor productivity,,,Undefined,Units,Index,127.5
1994,Total factor productivity,,,Undefined,Units,Index,128.7
1995,Total factor productivity,,,Undefined,Units,Index,127.2
1996,Total factor productivity,,,Undefined,Units,Index,126.2
1997,Total factor productivity,,,Undefined,Units,Index,128.1
1998,Total factor productivity,,,Undefined,Units,Index,131.2
1999,Total factor productivity,,,Undefined,Units,Index,136.7
2000,Total factor productivity,,,Undefined,Units,Index,139.4
2001,Total factor productivity,,,Undefined,Units,Index,136.8
2002,Total factor productivity,,,Undefined,Units,Index,144.9
2003,Total factor productivity,,,Undefined,Units,Index,145.1
2004,Total factor productivity,,,Undefined,Units,Index,145.6
2005,Total factor productivity,,,Undefined,Units,Index,150.0
2006,Total factor productivity,,,Undefined,Units,Index,148.0
2007,Total factor productivity,,,Undefined,Units,Index,145.8
2008,Total factor productivity,,,Undefined,Units,Index,151.8
2009,Total factor productivity,,,Undefined,Units,Index,147.7
2010,Total factor productivity,,,Undefined,Units,Index,147.1
2011,Total factor productivity,,,Undefined,Units,Index,153.9
2012,Total factor productivity,,,Undefined,Units,Index,145.9
2013,Total factor productivity,,,Undefined,Units,Index,146.4
