Year,Age,Region,Local authority,Unit measure,Observation status,GeoCode,Value
2011,2,,,Percentage (%),Missing data,,
2011,3,,,Percentage (%),Normal value,,92.0
2011,4,,,Percentage (%),Normal value,,96.0
2011,3 and 4,,,Percentage (%),Normal value,,94.0
2011,2,East Midlands,,Percentage (%),Missing data,E12000004,
2011,3,East Midlands,,Percentage (%),Normal value,E12000004,95.0
2011,4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2011,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,96.0
2011,2,East of England,,Percentage (%),Missing data,E12000006,
2011,3,East of England,,Percentage (%),Normal value,E12000006,95.0
2011,4,East of England,,Percentage (%),Normal value,E12000006,97.0
2011,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2011,2,London,,Percentage (%),Missing data,E12000007,
2011,3,London,,Percentage (%),Normal value,E12000007,85.0
2011,4,London,,Percentage (%),Normal value,E12000007,92.0
2011,3 and 4,London,,Percentage (%),Normal value,E12000007,88.0
2018,,Inner London,,Percentage (%),Normal value,E13000001,77.0
2018,,Outer London,,Percentage (%),Normal value,E13000002,84.3
2011,2,North East,,Percentage (%),Missing data,E12000001,
2011,3,North East,,Percentage (%),Normal value,E12000001,96.0
2011,4,North East,,Percentage (%),Normal value,E12000001,99.0
2011,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.0
2011,2,North West,,Percentage (%),Missing data,E12000002,
2011,3,North West,,Percentage (%),Normal value,E12000002,93.0
2011,4,North West,,Percentage (%),Normal value,E12000002,99.0
2011,3 and 4,North West,,Percentage (%),Normal value,E12000002,96.0
2011,2,South East,,Percentage (%),Missing data,E12000008,
2011,3,South East,,Percentage (%),Normal value,E12000008,93.0
2011,4,South East,,Percentage (%),Normal value,E12000008,96.0
2011,3 and 4,South East,,Percentage (%),Normal value,E12000008,95.0
2011,2,South West,,Percentage (%),Missing data,E12000009,
2011,3,South West,,Percentage (%),Normal value,E12000009,95.0
2011,4,South West,,Percentage (%),Normal value,E12000009,98.0
2011,3 and 4,South West,,Percentage (%),Normal value,E12000009,97.0
2011,2,West Midlands,,Percentage (%),Missing data,E12000005,
2011,3,West Midlands,,Percentage (%),Normal value,E12000005,91.0
2011,4,West Midlands,,Percentage (%),Normal value,E12000005,97.0
2011,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,94.0
2011,2,Yorkshire and The Humber,,Percentage (%),Missing data,E12000003,
2011,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,94.0
2011,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2011,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.0
2012,2,,,Percentage (%),Missing data,,
2012,3,,,Percentage (%),Normal value,,93.0
2012,4,,,Percentage (%),Normal value,,97.0
2012,3 and 4,,,Percentage (%),Normal value,,95.0
2012,2,East Midlands,,Percentage (%),Missing data,E12000004,
2012,3,East Midlands,,Percentage (%),Normal value,E12000004,96.0
2012,4,East Midlands,,Percentage (%),Normal value,E12000004,98.0
2012,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2012,2,East of England,,Percentage (%),Missing data,E12000006,
2012,3,East of England,,Percentage (%),Normal value,E12000006,95.0
2012,4,East of England,,Percentage (%),Normal value,E12000006,97.0
2012,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2012,2,London,,Percentage (%),Missing data,E12000007,
2012,3,London,,Percentage (%),Normal value,E12000007,86.0
2012,4,London,,Percentage (%),Normal value,E12000007,93.0
2012,3 and 4,London,,Percentage (%),Normal value,E12000007,89.0
2012,2,North East,,Percentage (%),Missing data,E12000001,
2012,3,North East,,Percentage (%),Normal value,E12000001,97.0
2012,4,North East,,Percentage (%),Normal value,E12000001,99.0
2012,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.0
2012,2,North West,,Percentage (%),Missing data,E12000002,
2012,3,North West,,Percentage (%),Normal value,E12000002,94.0
2012,4,North West,,Percentage (%),Normal value,E12000002,98.0
2012,3 and 4,North West,,Percentage (%),Normal value,E12000002,96.0
2012,2,South East,,Percentage (%),Missing data,E12000008,
2012,3,South East,,Percentage (%),Normal value,E12000008,94.0
2012,4,South East,,Percentage (%),Normal value,E12000008,96.0
2012,3 and 4,South East,,Percentage (%),Normal value,E12000008,95.0
2012,2,South West,,Percentage (%),Missing data,E12000009,
2012,3,South West,,Percentage (%),Normal value,E12000009,97.0
2012,4,South West,,Percentage (%),Normal value,E12000009,98.0
2012,3 and 4,South West,,Percentage (%),Normal value,E12000009,98.0
2012,2,West Midlands,,Percentage (%),Missing data,E12000005,
2012,3,West Midlands,,Percentage (%),Normal value,E12000005,92.0
2012,4,West Midlands,,Percentage (%),Normal value,E12000005,98.0
2012,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,95.0
2012,2,Yorkshire and The Humber,,Percentage (%),Missing data,E12000003,
2012,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.0
2012,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2012,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,97.0
2013,2,,,Percentage (%),Missing data,,
2013,3,,,Percentage (%),Normal value,,93.0
2013,4,,,Percentage (%),Normal value,,98.0
2013,3 and 4,,,Percentage (%),Normal value,,95.0
2013,2,East Midlands,,Percentage (%),Missing data,E12000004,
2013,3,East Midlands,,Percentage (%),Normal value,E12000004,95.0
2013,4,East Midlands,,Percentage (%),Normal value,E12000004,99.0
2013,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2013,2,East of England,,Percentage (%),Missing data,E12000006,
2013,3,East of England,,Percentage (%),Normal value,E12000006,95.0
2013,4,East of England,,Percentage (%),Normal value,E12000006,98.0
2013,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2013,2,London,,Percentage (%),Missing data,E12000007,
2013,3,London,,Percentage (%),Normal value,E12000007,87.0
2013,4,London,,Percentage (%),Normal value,E12000007,94.0
2013,3 and 4,London,,Percentage (%),Normal value,E12000007,90.0
2013,2,North East,,Percentage (%),Missing data,E12000001,
2013,3,North East,,Percentage (%),Normal value,E12000001,96.0
2013,4,North East,,Percentage (%),Normal value,E12000001,100.0
2013,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.0
2013,2,North West,,Percentage (%),Missing data,E12000002,
2013,3,North West,,Percentage (%),Normal value,E12000002,95.0
2013,4,North West,,Percentage (%),Normal value,E12000002,100.0
2013,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2013,2,South East,,Percentage (%),Missing data,E12000008,
2013,3,South East,,Percentage (%),Normal value,E12000008,94.0
2013,4,South East,,Percentage (%),Normal value,E12000008,97.0
2013,3 and 4,South East,,Percentage (%),Normal value,E12000008,95.0
2013,2,South West,,Percentage (%),Missing data,E12000009,
2013,3,South West,,Percentage (%),Normal value,E12000009,96.0
2013,4,South West,,Percentage (%),Normal value,E12000009,99.0
2013,3 and 4,South West,,Percentage (%),Normal value,E12000009,97.0
2013,2,West Midlands,,Percentage (%),Missing data,E12000005,
2013,3,West Midlands,,Percentage (%),Normal value,E12000005,92.0
2013,4,West Midlands,,Percentage (%),Normal value,E12000005,98.0
2013,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,95.0
2013,2,Yorkshire and The Humber,,Percentage (%),Missing data,E12000003,
2013,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,95.0
2013,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2013,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,97.0
2014,2,,,Percentage (%),Missing data,,
2014,3,,,Percentage (%),Normal value,,93.0
2014,4,,,Percentage (%),Normal value,,98.0
2014,3 and 4,,,Percentage (%),Normal value,,95.0
2014,2,East Midlands,,Percentage (%),Missing data,E12000004,
2014,3,East Midlands,,Percentage (%),Normal value,E12000004,96.0
2014,4,East Midlands,,Percentage (%),Normal value,E12000004,99.0
2014,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,98.0
2014,2,East of England,,Percentage (%),Missing data,E12000006,
2014,3,East of England,,Percentage (%),Normal value,E12000006,95.0
2014,4,East of England,,Percentage (%),Normal value,E12000006,97.0
2014,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2014,2,London,,Percentage (%),Missing data,E12000007,
2014,3,London,,Percentage (%),Normal value,E12000007,86.0
2014,4,London,,Percentage (%),Normal value,E12000007,94.0
2014,3 and 4,London,,Percentage (%),Normal value,E12000007,90.0
2014,2,North East,,Percentage (%),Missing data,E12000001,
2014,3,North East,,Percentage (%),Normal value,E12000001,95.0
2014,4,North East,,Percentage (%),Normal value,E12000001,99.0
2014,3 and 4,North East,,Percentage (%),Normal value,E12000001,97.0
2014,2,North West,,Percentage (%),Missing data,E12000002,
2014,3,North West,,Percentage (%),Normal value,E12000002,95.0
2014,4,North West,,Percentage (%),Normal value,E12000002,100.0
2014,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2014,2,South East,,Percentage (%),Missing data,E12000008,
2014,3,South East,,Percentage (%),Normal value,E12000008,94.0
2014,4,South East,,Percentage (%),Normal value,E12000008,96.0
2014,3 and 4,South East,,Percentage (%),Normal value,E12000008,95.0
2014,2,South West,,Percentage (%),Missing data,E12000009,
2014,3,South West,,Percentage (%),Normal value,E12000009,96.0
2014,4,South West,,Percentage (%),Normal value,E12000009,99.0
2014,3 and 4,South West,,Percentage (%),Normal value,E12000009,97.0
2014,2,West Midlands,,Percentage (%),Missing data,E12000005,
2014,3,West Midlands,,Percentage (%),Normal value,E12000005,92.0
2014,4,West Midlands,,Percentage (%),Normal value,E12000005,99.0
2014,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,96.0
2014,2,Yorkshire and The Humber,,Percentage (%),Missing data,E12000003,
2014,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.0
2014,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,99.0
2014,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2015,2,,,Percentage (%),Normal value,,58.0
2015,3,,,Percentage (%),Normal value,,93.0
2015,4,,,Percentage (%),Normal value,,97.0
2015,3 and 4,,,Percentage (%),Normal value,,95.0
2015,2,East Midlands,,Percentage (%),Normal value,E12000004,56.0
2015,3,East Midlands,,Percentage (%),Normal value,E12000004,95.0
2015,4,East Midlands,,Percentage (%),Normal value,E12000004,99.0
2015,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2015,2,East of England,,Percentage (%),Normal value,E12000006,62.0
2015,3,East of England,,Percentage (%),Normal value,E12000006,94.0
2015,4,East of England,,Percentage (%),Normal value,E12000006,97.0
2015,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2015,2,London,,Percentage (%),Normal value,E12000007,46.0
2015,3,London,,Percentage (%),Normal value,E12000007,83.0
2015,4,London,,Percentage (%),Normal value,E12000007,93.0
2015,3 and 4,London,,Percentage (%),Normal value,E12000007,88.0
2015,2,North East,,Percentage (%),Normal value,E12000001,65.0
2015,3,North East,,Percentage (%),Normal value,E12000001,96.0
2015,4,North East,,Percentage (%),Normal value,E12000001,99.0
2015,3 and 4,North East,,Percentage (%),Normal value,E12000001,97.0
2015,2,North West,,Percentage (%),Normal value,E12000002,62.0
2015,3,North West,,Percentage (%),Normal value,E12000002,95.0
2015,4,North West,,Percentage (%),Normal value,E12000002,100.0
2015,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2015,2,South East,,Percentage (%),Normal value,E12000008,60.0
2015,3,South East,,Percentage (%),Normal value,E12000008,93.0
2015,4,South East,,Percentage (%),Normal value,E12000008,96.0
2015,3 and 4,South East,,Percentage (%),Normal value,E12000008,94.0
2015,2,South West,,Percentage (%),Normal value,E12000009,64.0
2015,3,South West,,Percentage (%),Normal value,E12000009,96.0
2015,4,South West,,Percentage (%),Normal value,E12000009,98.0
2015,3 and 4,South West,,Percentage (%),Normal value,E12000009,97.0
2015,2,West Midlands,,Percentage (%),Normal value,E12000005,56.0
2015,3,West Midlands,,Percentage (%),Normal value,E12000005,94.0
2015,4,West Midlands,,Percentage (%),Normal value,E12000005,99.0
2015,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,96.0
2015,2,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,65.0
2015,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,95.0
2015,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,99.0
2015,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,97.0
2016,2,,,Percentage (%),Normal value,,68.0
2016,3,,,Percentage (%),Normal value,,93.0
2016,4,,,Percentage (%),Normal value,,96.0
2016,3 and 4,,,Percentage (%),Normal value,,95.0
2016,2,East Midlands,,Percentage (%),Normal value,E12000004,65.0
2016,3,East Midlands,,Percentage (%),Normal value,E12000004,95.0
2016,4,East Midlands,,Percentage (%),Normal value,E12000004,98.0
2016,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2016,2,East of England,,Percentage (%),Normal value,E12000006,71.0
2016,3,East of England,,Percentage (%),Normal value,E12000006,95.0
2016,4,East of England,,Percentage (%),Normal value,E12000006,96.0
2016,3 and 4,East of England,,Percentage (%),Normal value,E12000006,96.0
2016,2,London,,Percentage (%),Normal value,E12000007,57.0
2016,3,London,,Percentage (%),Normal value,E12000007,82.0
2016,4,London,,Percentage (%),Normal value,E12000007,89.0
2016,3 and 4,London,,Percentage (%),Normal value,E12000007,86.0
2016,2,North East,,Percentage (%),Normal value,E12000001,78.0
2016,3,North East,,Percentage (%),Normal value,E12000001,96.0
2016,4,North East,,Percentage (%),Normal value,E12000001,99.0
2016,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.0
2016,2,North West,,Percentage (%),Normal value,E12000002,72.0
2016,3,North West,,Percentage (%),Normal value,E12000002,95.0
2016,4,North West,,Percentage (%),Normal value,E12000002,99.0
2016,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2016,2,South East,,Percentage (%),Normal value,E12000008,68.0
2016,3,South East,,Percentage (%),Normal value,E12000008,95.0
2016,4,South East,,Percentage (%),Normal value,E12000008,96.0
2016,3 and 4,South East,,Percentage (%),Normal value,E12000008,96.0
2016,2,South West,,Percentage (%),Normal value,E12000009,75.0
2016,3,South West,,Percentage (%),Normal value,E12000009,95.0
2016,4,South West,,Percentage (%),Normal value,E12000009,98.0
2016,3 and 4,South West,,Percentage (%),Normal value,E12000009,97.0
2016,2,West Midlands,,Percentage (%),Normal value,E12000005,65.0
2016,3,West Midlands,,Percentage (%),Normal value,E12000005,94.0
2016,4,West Midlands,,Percentage (%),Normal value,E12000005,99.0
2016,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,97.0
2016,2,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,71.0
2016,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.0
2016,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2016,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,97.0
2017,2,,,Percentage (%),Normal value,,71.0
2017,3,,,Percentage (%),Normal value,,93.0
2017,4,,,Percentage (%),Normal value,,95.0
2017,3 and 4,,,Percentage (%),Normal value,,94.0
2017,2,East Midlands,,Percentage (%),Normal value,E12000004,68.0
2017,3,East Midlands,,Percentage (%),Normal value,E12000004,95.0
2017,4,East Midlands,,Percentage (%),Normal value,E12000004,98.0
2017,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,97.0
2017,2,East of England,,Percentage (%),Normal value,E12000006,73.0
2017,3,East of England,,Percentage (%),Normal value,E12000006,93.0
2017,4,East of England,,Percentage (%),Normal value,E12000006,96.0
2017,3 and 4,East of England,,Percentage (%),Normal value,E12000006,95.0
2017,2,London,,Percentage (%),Normal value,E12000007,58.0
2017,3,London,,Percentage (%),Normal value,E12000007,82.0
2017,4,London,,Percentage (%),Normal value,E12000007,87.0
2017,3 and 4,London,,Percentage (%),Normal value,E12000007,84.0
2017,2,North East,,Percentage (%),Normal value,E12000001,81.0
2017,3,North East,,Percentage (%),Normal value,E12000001,97.0
2017,4,North East,,Percentage (%),Normal value,E12000001,98.0
2017,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.0
2017,2,North West,,Percentage (%),Normal value,E12000002,79.0
2017,3,North West,,Percentage (%),Normal value,E12000002,96.0
2017,4,North West,,Percentage (%),Normal value,E12000002,98.0
2017,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2017,2,South East,,Percentage (%),Normal value,E12000008,71.0
2017,3,South East,,Percentage (%),Normal value,E12000008,94.0
2017,4,South East,,Percentage (%),Normal value,E12000008,96.0
2017,3 and 4,South East,,Percentage (%),Normal value,E12000008,95.0
2017,2,South West,,Percentage (%),Normal value,E12000009,80.0
2017,3,South West,,Percentage (%),Normal value,E12000009,96.0
2017,4,South West,,Percentage (%),Normal value,E12000009,97.0
2017,3 and 4,South West,,Percentage (%),Normal value,E12000009,96.0
2017,2,West Midlands,,Percentage (%),Normal value,E12000005,67.0
2017,3,West Midlands,,Percentage (%),Normal value,E12000005,95.0
2017,4,West Midlands,,Percentage (%),Normal value,E12000005,98.0
2017,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,96.0
2017,2,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,73.0
