Year,Series,Age,Sex,Country,Region,Observation status,Units,GeoCode,Value
17 May to 11 June 2023,Healthcare system,,,,,Normal value,Percentage (%),,53.9
17 May to 11 June 2023,Healthcare system,,,England,,Normal value,Percentage (%),E92000001,53.1
17 May to 11 June 2023,Healthcare system,,,England,North East,Normal value,Percentage (%),E12000001,51.6
17 May to 11 June 2023,Healthcare system,,,England,North West,Normal value,Percentage (%),E12000002,56.9
17 May to 11 June 2023,Healthcare system,,,England,Yorkshire and The Humber,Normal value,Percentage (%),E12000003,61.0
17 May to 11 June 2023,Healthcare system,,,England,East Midlands,Normal value,Percentage (%),E12000004,54.2
17 May to 11 June 2023,Healthcare system,,,England,West Midlands,Normal value,Percentage (%),E12000005,44.7
17 May to 11 June 2023,Healthcare system,,,England,East,Normal value,Percentage (%),E12000006,54.0
17 May to 11 June 2023,Healthcare system,,,England,London,Normal value,Percentage (%),E12000007,52.4
17 May to 11 June 2023,Healthcare system,,,England,South East,Normal value,Percentage (%),E12000008,49.7
17 May to 11 June 2023,Healthcare system,,,England,South West,Normal value,Percentage (%),E12000009,54.8
17 May to 11 June 2023,Healthcare system,,,Scotland,,Normal value,Percentage (%),S92000003,61.4
17 May to 11 June 2023,Healthcare system,,,Wales,,Normal value,Percentage (%),W92000004,53.3
17 May to 11 June 2023,Healthcare system,16 to 24,,,,Normal value,Percentage (%),,55.4
17 May to 11 June 2023,Healthcare system,25 to 34,,,,Normal value,Percentage (%),,46.6
17 May to 11 June 2023,Healthcare system,35 to 49,,,,Normal value,Percentage (%),,51.8
17 May to 11 June 2023,Healthcare system,50 to 64,,,,Normal value,Percentage (%),,56.1
17 May to 11 June 2023,Healthcare system,65 to 74,,,,Normal value,Percentage (%),,56.7
17 May to 11 June 2023,Healthcare system,75 and over,,,,Normal value,Percentage (%),,59.3
17 May to 11 June 2023,Healthcare system,,Female,,,Normal value,Percentage (%),,52.3
17 May to 11 June 2023,Healthcare system,,Male,,,Normal value,Percentage (%),,55.5
17 May to 11 June 2023,Education system,,,,,Normal value,Percentage (%),,66.7
17 May to 11 June 2023,Education system,,,England,,Normal value,Percentage (%),E92000001,67.5
17 May to 11 June 2023,Education system,,,England,North East,Normal value,Percentage (%),E12000001,71.5
17 May to 11 June 2023,Education system,,,England,North West,Normal value,Percentage (%),E12000002,65.7
17 May to 11 June 2023,Education system,,,England,Yorkshire and The Humber,Normal value,Percentage (%),E12000003,66.1
17 May to 11 June 2023,Education system,,,England,East Midlands,Normal value,Percentage (%),E12000004,65.6
17 May to 11 June 2023,Education system,,,England,West Midlands,Normal value,Percentage (%),E12000005,66.2
17 May to 11 June 2023,Education system,,,England,East,Normal value,Percentage (%),E12000006,73.0
17 May to 11 June 2023,Education system,,,England,London,Normal value,Percentage (%),E12000007,69.7
17 May to 11 June 2023,Education system,,,England,South East,Normal value,Percentage (%),E12000008,66.0
17 May to 11 June 2023,Education system,,,England,South West,Normal value,Percentage (%),E12000009,64.9
17 May to 11 June 2023,Education system,,,Scotland,,Normal value,Percentage (%),S92000003,61.7
17 May to 11 June 2023,Education system,,,Wales,,Normal value,Percentage (%),W92000004,60.8
17 May to 11 June 2023,Education system,16 to 24,,,,Normal value,Percentage (%),,60.9
17 May to 11 June 2023,Education system,25 to 34,,,,Normal value,Percentage (%),,64.4
17 May to 11 June 2023,Education system,35 to 49,,,,Normal value,Percentage (%),,67.2
17 May to 11 June 2023,Education system,50 to 64,,,,Normal value,Percentage (%),,66.4
17 May to 11 June 2023,Education system,65 to 74,,,,Normal value,Percentage (%),,70.1
17 May to 11 June 2023,Education system,75 and over,,,,Normal value,Percentage (%),,72.8
17 May to 11 June 2023,Education system,,Female,,,Normal value,Percentage (%),,68.7
17 May to 11 June 2023,Education system,,Male,,,Normal value,Percentage (%),,64.5
17 May to 11 June 2023,Police,,,,,Normal value,Percentage (%),,63.5
17 May to 11 June 2023,Police,,,England,,Normal value,Percentage (%),E92000001,63.6
17 May to 11 June 2023,Police,,,England,North East,Normal value,Percentage (%),E12000001,62.5
17 May to 11 June 2023,Police,,,England,North West,Normal value,Percentage (%),E12000002,69.2
17 May to 11 June 2023,Police,,,England,Yorkshire and The Humber,Normal value,Percentage (%),E12000003,63.2
17 May to 11 June 2023,Police,,,England,East Midlands,Normal value,Percentage (%),E12000004,65.8
17 May to 11 June 2023,Police,,,England,West Midlands,Normal value,Percentage (%),E12000005,64.2
17 May to 11 June 2023,Police,,,England,East,Normal value,Percentage (%),E12000006,66.7
17 May to 11 June 2023,Police,,,England,London,Normal value,Percentage (%),E12000007,58.6
