Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2012,,,,,,,,,Percentage (%),Undefined,Units,,80.9
2012,16 to 24,,,,,,,,Percentage (%),Undefined,Units,,97.6
2012,25 to 34,,,,,,,,Percentage (%),Undefined,Units,,96.7
2012,35 to 44,,,,,,,,Percentage (%),Undefined,Units,,94.2
2012,45 to 54,,,,,,,,Percentage (%),Undefined,Units,,87.8
2012,55 to 64,,,,,,,,Percentage (%),Undefined,Units,,77.9
2012,65 to 74,,,,,,,,Percentage (%),Undefined,Units,,56.2
2012,75 and over,,,,,,,,Percentage (%),Undefined,Units,,22.9
2012,,Male,,,,,,,Percentage (%),Undefined,Units,,83.5
2012,,Female,,,,,,,Percentage (%),Undefined,Units,,78.4
2012,,,,White,,,,,Percentage (%),Undefined,Units,,80.7
2012,,,,Mixed/Multiple ethnic background,,,,,Percentage (%),Undefined,Units,,92.5
2012,,,,Asian/Asian British,Indian,,,,Percentage (%),Undefined,Units,,79.6
2012,,,,Asian/Asian British,Pakistani,,,,Percentage (%),Undefined,Units,,77.2
2012,,,,Asian/Asian British,Bangladeshi,,,,Percentage (%),Undefined,Units,,68.6
2012,,,,Asian/Asian British,Chinese,,,,Percentage (%),Undefined,Units,,92.0
2012,,,,Asian/Asian British,Any other Asian background,,,,Percentage (%),Undefined,Units,,86.7
2012,,,,Black/African/Caribbean/Black British,,,,,Percentage (%),Undefined,Units,,82.8
2012,,,,Other ethnic group,,,,,Percentage (%),Undefined,Units,,86.9
2012,,,,,,Employed,,,Percentage (%),Undefined,Units,,94.4
2012,,,,,,Self-employed,,,Percentage (%),Undefined,Units,,90.9
2012,,,,,,Government employment & training programmes,,,Percentage (%),Undefined,Units,,91.6
2012,,,,,,Unpaid family worker,,,Percentage (%),Undefined,Units,,85.9
2012,,,,,,Unemployed,,,Percentage (%),Undefined,Units,,90.8
2012,,,,,,Student,,,Percentage (%),Undefined,Units,,98.8
2012,,,,,,Retired,,,Percentage (%),Undefined,Units,,43.2
2012,,,,,,Inactive,,,Percentage (%),Undefined,Units,,71.5
2013,,,,,,,,,Percentage (%),Undefined,Units,,83.3
2013,16 to 24,,,,,,,,Percentage (%),Undefined,Units,,98.3
2013,25 to 34,,,,,,,,Percentage (%),Undefined,Units,,97.7
2013,35 to 44,,,,,,,,Percentage (%),Undefined,Units,,95.8
2013,45 to 54,,,,,,,,Percentage (%),Undefined,Units,,90.2
2013,55 to 64,,,,,,,,Percentage (%),Undefined,Units,,81.3
2013,65 to 74,,,,,,,,Percentage (%),Undefined,Units,,61.1
2013,75 and over,,,,,,,,Percentage (%),Undefined,Units,,29.1
2013,,Male,,,,,,,Percentage (%),Undefined,Units,,85.6
2013,,Female,,,,,,,Percentage (%),Undefined,Units,,81.0
2013,,,,White,,,,,Percentage (%),Undefined,Units,,82.9
2013,,,,Mixed/Multiple ethnic background,,,,,Percentage (%),Undefined,Units,,95.1
2013,,,,Asian/Asian British,Indian,,,,Percentage (%),Undefined,Units,,84.2
2013,,,,Asian/Asian British,Pakistani,,,,Percentage (%),Undefined,Units,,79.5
2013,,,,Asian/Asian British,Bangladeshi,,,,Percentage (%),Undefined,Units,,82.5
2013,,,,Asian/Asian British,Chinese,,,,Percentage (%),Undefined,Units,,93.6
2013,,,,Asian/Asian British,Any other Asian background,,,,Percentage (%),Undefined,Units,,91.3
2013,,,,Black/African/Caribbean/Black British,,,,,Percentage (%),Undefined,Units,,86.2
2013,,,,Other ethnic group,,,,,Percentage (%),Undefined,Units,,87.9
2013,,,,,,Employed,,,Percentage (%),Undefined,Units,,95.6
2013,,,,,,Self-employed,,,Percentage (%),Undefined,Units,,92.8
2013,,,,,,Government employment & training programmes,,,Percentage (%),Undefined,Units,,92.2
2013,,,,,,Unpaid family worker,,,Percentage (%),Undefined,Units,,83.4
2013,,,,,,Unemployed,,,Percentage (%),Undefined,Units,,92.6
2013,,,,,,Student,,,Percentage (%),Undefined,Units,,99.0
2013,,,,,,Retired,,,Percentage (%),Undefined,Units,,48.1
2013,,,,,,Inactive,,,Percentage (%),Undefined,Units,,75.6
2013,,,,,,,North East,,Percentage (%),Undefined,Units,E12000001,79.4
2013,,,,,,,North East,Hartlepool and Stockton-on-Tees,Percentage (%),Undefined,Units,,75.4
2013,,,,,,,North East,South Teesside,Percentage (%),Undefined,Units,,85.5
2013,,,,,,,North East,Darlington,Percentage (%),Undefined,Units,E06000005,74.4
2013,,,,,,,North East,Durham CC,Percentage (%),Undefined,Units,,77.4
2013,,,,,,,North East,Northumberland,Percentage (%),Undefined,Units,E06000057,84.3
2013,,,,,,,North East,Tyneside,Percentage (%),Undefined,Units,,78.7
2013,,,,,,,North East,Sunderland,Percentage (%),Undefined,Units,E08000024,79.7
2013,,,,,,,North West,,Percentage (%),Undefined,Units,E12000002,81.9
2013,,,,,,,North West,West Cumbria,Percentage (%),Undefined,Units,,76.1
2013,,,,,,,North West,East Cumbria,Percentage (%),Undefined,Units,,81.6
2013,,,,,,,North West,Halton and Warrington,Percentage (%),Undefined,Units,,83.5
2013,,,,,,,North West,Cheshire CC,Percentage (%),Undefined,Units,,84.4
2013,,,,,,,North West,Greater Manchester South,Percentage (%),Undefined,Units,,83.2
2013,,,,,,,North West,Greater Manchester North,Percentage (%),Undefined,Units,,83.9
2013,,,,,,,North West,Blackburn with Darwen,Percentage (%),Undefined,Units,E06000008,83.1
2013,,,,,,,North West,Blackpool,Percentage (%),Undefined,Units,E06000009,79.1
2013,,,,,,,North West,Lancashire CC,Percentage (%),Undefined,Units,,81.5
2013,,,,,,,North West,East Merseyside,Percentage (%),Undefined,Units,,79.3
2013,,,,,,,North West,Liverpool,Percentage (%),Undefined,Units,E08000012,78.2
2013,,,,,,,North West,Sefton,Percentage (%),Undefined,Units,E08000014,75.6
2013,,,,,,,North West,Wirral,Percentage (%),Undefined,Units,E08000015,81.9
2013,,,,,,,Yorkshire and the Humber,,Percentage (%),Undefined,Units,E12000003,82.4
2013,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Percentage (%),Undefined,Units,,80.4
2013,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Percentage (%),Undefined,Units,E06000011,83.9
2013,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Percentage (%),Undefined,Units,,78.2
2013,,,,,,,Yorkshire and the Humber,York,Percentage (%),Undefined,Units,E06000014,91.8
2013,,,,,,,Yorkshire and the Humber,North Yorkshire CC,Percentage (%),Undefined,Units,,82.7
2013,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Percentage (%),Undefined,Units,,79.2
2013,,,,,,,Yorkshire and the Humber,Sheffield,Percentage (%),Undefined,Units,E08000019,82.1
2013,,,,,,,Yorkshire and the Humber,Bradford,Percentage (%),Undefined,Units,E08000032,83.8
2013,,,,,,,Yorkshire and the Humber,Leeds,Percentage (%),Undefined,Units,E08000035,82.3
2013,,,,,,,Yorkshire and the Humber,"Calderdale, Kirklees and Wakefield",Percentage (%),Undefined,Units,,83.7
2013,,,,,,,East Midlands,,Percentage (%),Undefined,Units,E12000004,83.0
2013,,,,,,,East Midlands,Derby,Percentage (%),Undefined,Units,E06000015,89.6
2013,,,,,,,East Midlands,East Derbyshire,Percentage (%),Undefined,Units,,79.0
2013,,,,,,,East Midlands,South and West Derbyshire,Percentage (%),Undefined,Units,,84.0
2013,,,,,,,East Midlands,Nottingham,Percentage (%),Undefined,Units,E06000018,82.9
2013,,,,,,,East Midlands,North Nottinghamshire,Percentage (%),Undefined,Units,,77.6
2013,,,,,,,East Midlands,South Nottinghamshire,Percentage (%),Undefined,Units,,83.5
2013,,,,,,,East Midlands,Leicester,Percentage (%),Undefined,Units,E06000016,80.6
2013,,,,,,,East Midlands,Leicestershire CC and Rutland,Percentage (%),Undefined,Units,,83.1
2013,,,,,,,East Midlands,Northamptonshire,Percentage (%),Undefined,Units,,87.3
2013,,,,,,,East Midlands,Lincolnshire,Percentage (%),Undefined,Units,,81.4
2013,,,,,,,West Midlands,,Percentage (%),Undefined,Units,E12000005,79.6
2013,,,,,,,West Midlands,"Herefordshire, County of",Percentage (%),Undefined,Units,,72.0
2013,,,,,,,West Midlands,Worcestershire,Percentage (%),Undefined,Units,,85.7
