Year,Series,Sex,Age,Observation status,Unit multiplier,Units,Value
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),11.8
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),13.6
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),17.3
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.9
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),10.4
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),13.7
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),11.9
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),14.4
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),19.5
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),8.5
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),10.9
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),11.7
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),11.7
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),12.9
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),15.1
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),9.2
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),9.9
2005,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),15.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),11.8
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),14.5
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),14.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.8
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),11.1
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),14.0
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),11.1
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),14.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),13.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),8.4
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),11.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),11.5
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),12.4
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),14.8
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),15.4
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),9.2
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),11.0
2006,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),15.9
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),11.2
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),13.3
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),13.2
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.3
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),9.8
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),15.0
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),10.6
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),13.4
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),12.0
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),8.3
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),9.7
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),12.4
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),11.7
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),13.3
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),14.5
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),8.4
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),9.8
2007,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),17.0
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),11.3
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),13.7
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),12.5
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.4
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),10.0
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),15.3
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),10.5
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),13.0
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),11.5
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),8.2
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),10.3
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),12.3
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),12.0
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),14.6
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),13.6
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),8.5
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),9.7
2008,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),17.7
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),10.2
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),12.2
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),13.0
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.3
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),8.8
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),11.7
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),9.8
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),11.1
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),12.9
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),8.4
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),9.4
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),9.8
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),10.6
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),13.4
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),13.2
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),8.3
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),8.1
2009,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),13.3
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),9.9
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),9.9
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),11.9
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),8.1
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),9.8
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),12.1
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),9.8
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),10.3
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),13.9
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),7.8
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),10.4
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),9.6
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),9.9
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),9.4
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),9.8
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,25 to 49,Definition differs,Units,Percentage (%),8.4
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,50 to 64,Definition differs,Units,Percentage (%),9.2
2010,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,65 and over,Definition differs,Units,Percentage (%),14.1
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,,Definition differs,Units,Percentage (%),9.4
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,15 and under,Definition differs,Units,Percentage (%),9.5
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,16 to 24,Definition differs,Units,Percentage (%),11.2
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,25 to 49,Definition differs,Units,Percentage (%),7.4
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,50 to 64,Definition differs,Units,Percentage (%),9.1
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),,65 and over,Definition differs,Units,Percentage (%),12.4
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,,Definition differs,Units,Percentage (%),8.6
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,15 and under,Definition differs,Units,Percentage (%),9.5
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,16 to 24,Definition differs,Units,Percentage (%),9.2
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,25 to 49,Definition differs,Units,Percentage (%),7.2
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,50 to 64,Definition differs,Units,Percentage (%),9.1
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Male,65 and over,Definition differs,Units,Percentage (%),9.7
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,,Definition differs,Units,Percentage (%),10.1
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,15 and under,Definition differs,Units,Percentage (%),9.6
2011,Percentage of people in households at risk of poverty (below 50% of median UK household income),Female,16 to 24,Definition differs,Units,Percentage (%),13.2
