Year,Series,Country income classification,Observation status,Units,Value
2009,Net Official Development Assistance (ODA) flows to developing countries,LDCs,Definition differs,GBP (£ thousands),1650538.39
2009,Net Official Development Assistance (ODA) flows to developing countries,LDCs,Definition differs,Constant USD ($ thousands),2655590.405
2009,Net Official Development Assistance (ODA) flows to developing countries,LMICs,Definition differs,GBP (£ thousands),713510.21
2009,Net Official Development Assistance (ODA) flows to developing countries,LMICs,Definition differs,Constant USD ($ thousands),1147983.518
2009,Net Official Development Assistance (ODA) flows to developing countries,Other LICs,Definition differs,GBP (£ thousands),585993.86
2009,Net Official Development Assistance (ODA) flows to developing countries,Other LICs,Definition differs,Constant USD ($ thousands),942819.435
2009,Net Official Development Assistance (ODA) flows to developing countries,UMICs,Definition differs,GBP (£ thousands),153404.5
2009,Net Official Development Assistance (ODA) flows to developing countries,UMICs,Definition differs,Constant USD ($ thousands),246816.142
2009,Net Official Development Assistance (ODA) flows to developing countries,Unspecified,Definition differs,GBP (£ thousands),4197529.278
2009,Net Official Development Assistance (ODA) flows to developing countries,Unspecified,Definition differs,Constant USD ($ thousands),6753504.519
2009,Net Official Development Assistance (ODA) flows to developing countries,,Definition differs,GBP (£ thousands),7300976.237
2009,Net Official Development Assistance (ODA) flows to developing countries,,Definition differs,Constant USD ($ thousands),11746714.019
2010,Net Official Development Assistance (ODA) flows to developing countries,LDCs,Definition differs,GBP (£ thousands),1679951.58
2010,Net Official Development Assistance (ODA) flows to developing countries,LDCs,Definition differs,Constant USD ($ thousands),2666221.249
2010,Net Official Development Assistance (ODA) flows to developing countries,LMICs,Definition differs,GBP (£ thousands),664494.356
2010,Net Official Development Assistance (ODA) flows to developing countries,LMICs,Definition differs,Constant USD ($ thousands),1054607.164
2010,Net Official Development Assistance (ODA) flows to developing countries,Other LICs,Definition differs,GBP (£ thousands),695148.366
2010,Net Official Development Assistance (ODA) flows to developing countries,Other LICs,Definition differs,Constant USD ($ thousands),1103257.598
2010,Net Official Development Assistance (ODA) flows to developing countries,UMICs,Definition differs,GBP (£ thousands),124533.506
2010,Net Official Development Assistance (ODA) flows to developing countries,UMICs,Definition differs,Constant USD ($ thousands),197644.91
2010,Net Official Development Assistance (ODA) flows to developing countries,Unspecified,Definition differs,GBP (£ thousands),5364653.236
