Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2001 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.9347813419
2001 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.272216352582761
2001 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.339616239730532
2002 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.270712424813963
2002 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.261718963724894
2002 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.77648757104805
2002 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.410667192048292
2002 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.674003092263249
2002 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.831376950926629
2002 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.337405860282708
2002 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.50505774391632
2002 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.779896146652463
2002 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.705354680219685
2002 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.589958242172617
2002 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.926445522724288
2003 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.50387653485594
2003 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,9.016011955922302
2003 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.827493943041883
2003 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.397976146544355
2003 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,9.088879851985034
2003 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.661331564391563
2003 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.118133107031548
2003 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.619184919085818
2003 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.432581018903964
2003 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.597609194809698
2003 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.90148263424436
2003 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.966711661573775
2004 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.360430672632896
2004 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.69082386880569
2004 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.718884747820525
2004 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.935088179179829
2004 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.268018558817307
2004 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.289901237214488
2004 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.440885503966712
2004 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.527780489408034
2004 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.863071745653276
2004 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.4447192110986
2004 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.651603615488002
2004 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.827799798373892
2005 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.431194822487246
2005 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.738925116698706
2005 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.780901264712137
2005 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.686430629829887
2005 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.655173637879418
2005 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.129195660774108
2005 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.467630940819708
2005 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.716998397415848
2005 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.82436175700053
2005 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.398049814610848
2005 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,9.167974631704874
