Year,Contraceptive method,Types of contraception,Age,Region,Local Authority,Observation status,Unit measure,GeoCode,Value
2014/15,Long acting reversible contraceptives,,,,,Undefined,Percentage (%),,36.7706543671
2014/15,Long acting reversible contraceptives,IU device,,,,Undefined,Percentage (%),,5.760495723934809
2014/15,Long acting reversible contraceptives,IU system,,,,Undefined,Percentage (%),,7.18956956720844
2014/15,Long acting reversible contraceptives,Implant,,,,Undefined,Percentage (%),,14.76217342475156
2014/15,Long acting reversible contraceptives,Injectable contraceptive,,,,Undefined,Percentage (%),,9.058415651174233
2014/15,User dependent,,,,,Undefined,Percentage (%),,63.229345632930965
2014/15,User dependent,Oral contraceptives,,,,Undefined,Percentage (%),,45.34339741321697
2014/15,User dependent,Male condom,,,,Undefined,Percentage (%),,14.997944046180866
2014/15,User dependent,Female condom,,,,Undefined,Percentage (%),,0.1346198185448096
2014/15,User dependent,Contraceptive patch,,,,Undefined,Percentage (%),,1.4647741266446304
2014/15,User dependent,Natural family planning,,,,Undefined,Percentage (%),,0.8130314534371618
2014/15,User dependent,Other methods,,,,Undefined,Percentage (%),,0.475578774906526
2014/15,Long acting reversible contraceptives,,Under 16,,,Undefined,Percentage (%),,29.94175979852038
2014/15,Long acting reversible contraceptives,,16 to 17,,,Undefined,Percentage (%),,29.260083418130584
2014/15,Long acting reversible contraceptives,,18 to 19,,,Undefined,Percentage (%),,29.345570223189988
2014/15,Long acting reversible contraceptives,,20 to 24,,,Undefined,Percentage (%),,31.558429245909103
2014/15,Long acting reversible contraceptives,,25 to 34,,,Undefined,Percentage (%),,39.6214438009462
2014/15,Long acting reversible contraceptives,,35 to 44,,,Undefined,Percentage (%),,51.63319823905861
2014/15,Long acting reversible contraceptives,,45 and over,,,Undefined,Percentage (%),,48.36494247202543
2014/15,User dependent,,Under 16,,,Undefined,Percentage (%),,70.0582402014796
2014/15,User dependent,,16 to 17,,,Undefined,Percentage (%),,70.73991658186941
2014/15,User dependent,,18 to 19,,,Undefined,Percentage (%),,70.65442977681002
2014/15,User dependent,,20 to 24,,,Undefined,Percentage (%),,68.4415707540909
2014/15,User dependent,,25 to 34,,,Undefined,Percentage (%),,60.37855619905379
2014/15,User dependent,,35 to 44,,,Undefined,Percentage (%),,48.36680176094139
2014/15,User dependent,,45 and over,,,Undefined,Percentage (%),,51.63505752797458
2014/15,Long acting reversible contraceptives,,,North East,,Undefined,Percentage (%),E12000001,44.0
2014/15,Long acting reversible contraceptives,,,North East,County Durham,Undefined,Percentage (%),E06000047,46.0
2014/15,Long acting reversible contraceptives,,,North East,Darlington,Undefined,Percentage (%),E06000005,39.0
2014/15,Long acting reversible contraceptives,,,North East,Gateshead,Undefined,Percentage (%),E08000037,39.0
2014/15,Long acting reversible contraceptives,,,North East,Hartlepool,Undefined,Percentage (%),E06000001,38.0
2014/15,Long acting reversible contraceptives,,,North East,Middlesbrough,Undefined,Percentage (%),E06000002,43.0
2014/15,Long acting reversible contraceptives,,,North East,Newcastle upon Tyne,Undefined,Percentage (%),E08000021,40.0
2014/15,Long acting reversible contraceptives,,,North East,North Tyneside,Undefined,Percentage (%),E08000022,45.0
2014/15,Long acting reversible contraceptives,,,North East,Northumberland,Undefined,Percentage (%),E06000057,50.0
2014/15,Long acting reversible contraceptives,,,North East,Redcar and Cleveland,Undefined,Percentage (%),E06000003,46.0
2014/15,Long acting reversible contraceptives,,,North East,South Tyneside,Undefined,Percentage (%),E08000023,45.0
2014/15,Long acting reversible contraceptives,,,North East,Stockton-on-Tees,Undefined,Percentage (%),E06000004,36.0
2014/15,Long acting reversible contraceptives,,,North East,Sunderland,Undefined,Percentage (%),E08000024,54.0
2014/15,Long acting reversible contraceptives,,,North West,,Undefined,Percentage (%),E12000002,36.0
2014/15,Long acting reversible contraceptives,,,North West,Blackburn with Darwen,Undefined,Percentage (%),E06000008,39.0
2014/15,Long acting reversible contraceptives,,,North West,Blackpool,Undefined,Percentage (%),E06000009,48.0
2014/15,Long acting reversible contraceptives,,,North West,Bolton,Undefined,Percentage (%),E08000001,47.0
2014/15,Long acting reversible contraceptives,,,North West,Bury,Undefined,Percentage (%),E08000002,37.0
2014/15,Long acting reversible contraceptives,,,North West,Cheshire East,Undefined,Percentage (%),E06000049,37.0
2014/15,Long acting reversible contraceptives,,,North West,Cheshire West and Chester,Undefined,Percentage (%),E06000050,37.0
2014/15,Long acting reversible contraceptives,,,North West,Cumbria,Undefined,Percentage (%),,40.0
2014/15,Long acting reversible contraceptives,,,North West,Halton,Undefined,Percentage (%),E06000006,33.0
2014/15,Long acting reversible contraceptives,,,North West,Knowsley,Undefined,Percentage (%),E08000011,33.0
2014/15,Long acting reversible contraceptives,,,North West,Lancashire,Undefined,Percentage (%),,38.0
2014/15,Long acting reversible contraceptives,,,North West,Liverpool,Undefined,Percentage (%),E08000012,29.0
2014/15,Long acting reversible contraceptives,,,North West,Manchester,Undefined,Percentage (%),E08000003,35.0
2014/15,Long acting reversible contraceptives,,,North West,Oldham,Undefined,Percentage (%),E08000004,38.0
2014/15,Long acting reversible contraceptives,,,North West,Rochdale,Undefined,Percentage (%),E08000005,44.0
2014/15,Long acting reversible contraceptives,,,North West,Salford,Undefined,Percentage (%),E08000006,37.0
2014/15,Long acting reversible contraceptives,,,North West,Sefton,Undefined,Percentage (%),E08000014,36.0
2014/15,Long acting reversible contraceptives,,,North West,St. Helens,Undefined,Percentage (%),E08000013,30.0
2014/15,Long acting reversible contraceptives,,,North West,Stockport,Undefined,Percentage (%),E08000007,35.0
2014/15,Long acting reversible contraceptives,,,North West,Tameside,Undefined,Percentage (%),E08000008,34.0
2014/15,Long acting reversible contraceptives,,,North West,Trafford,Undefined,Percentage (%),E08000009,40.0
2014/15,Long acting reversible contraceptives,,,North West,Warrington,Undefined,Percentage (%),E06000007,31.0
2014/15,Long acting reversible contraceptives,,,North West,Wigan,Undefined,Percentage (%),E08000010,39.0
2014/15,Long acting reversible contraceptives,,,North West,Wirral,Undefined,Percentage (%),E08000015,37.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,,Undefined,Percentage (%),E12000003,40.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Barnsley,Undefined,Percentage (%),E08000016,33.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Bradford,Undefined,Percentage (%),E08000032,39.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Calderdale,Undefined,Percentage (%),E08000033,34.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Doncaster,Undefined,Percentage (%),E08000017,42.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Percentage (%),E06000011,45.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Percentage (%),,43.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Kirklees,Undefined,Percentage (%),E08000034,55.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Leeds,Undefined,Percentage (%),E08000035,33.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,North East Lincolnshire,Undefined,Percentage (%),E06000012,39.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,North Lincolnshire,Undefined,Percentage (%),E06000013,46.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,North Yorkshire,Undefined,Percentage (%),,47.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Rotherham,Undefined,Percentage (%),E08000018,39.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Sheffield,Undefined,Percentage (%),E08000019,43.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,Wakefield,Undefined,Percentage (%),E08000036,40.0
2014/15,Long acting reversible contraceptives,,,Yorkshire and the Humber,York,Undefined,Percentage (%),E06000014,36.0
2014/15,Long acting reversible contraceptives,,,East Midlands,,Undefined,Percentage (%),E12000004,45.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Derby,Undefined,Percentage (%),E06000015,49.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Derbyshire,Undefined,Percentage (%),,49.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Leicester,Undefined,Percentage (%),E06000016,48.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Leicestershire,Undefined,Percentage (%),,53.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Lincolnshire,Undefined,Percentage (%),,54.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Northamptonshire,Undefined,Percentage (%),,39.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Nottingham,Undefined,Percentage (%),E06000018,39.0
2014/15,Long acting reversible contraceptives,,,East Midlands,Nottinghamshire,Undefined,Percentage (%),,41.0
2014/15,Long acting reversible contraceptives,,,West Midlands,,Undefined,Percentage (%),E12000005,34.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Birmingham,Undefined,Percentage (%),E08000025,26.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Coventry,Undefined,Percentage (%),E08000026,42.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Dudley,Undefined,Percentage (%),E08000027,39.0
2014/15,Long acting reversible contraceptives,,,West Midlands,"Herefordshire, County of",Undefined,Percentage (%),,47.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Sandwell,Undefined,Percentage (%),E08000028,32.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Shropshire,Undefined,Percentage (%),E06000051,37.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Solihull,Undefined,Percentage (%),E08000029,38.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Staffordshire,Undefined,Percentage (%),,31.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Stoke-on-Trent,Undefined,Percentage (%),E06000021,42.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Telford and Wrekin,Undefined,Percentage (%),E06000020,39.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Walsall,Undefined,Percentage (%),E08000030,35.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Warwickshire,Undefined,Percentage (%),,40.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Wolverhampton,Undefined,Percentage (%),E08000031,46.0
2014/15,Long acting reversible contraceptives,,,West Midlands,Worcestershire,Undefined,Percentage (%),,35.0
2014/15,Long acting reversible contraceptives,,,East of England,,Undefined,Percentage (%),E12000006,37.0
2014/15,Long acting reversible contraceptives,,,East of England,Bedford,Undefined,Percentage (%),E06000055,30.0
2014/15,Long acting reversible contraceptives,,,East of England,Cambridgeshire,Undefined,Percentage (%),,36.0
2014/15,Long acting reversible contraceptives,,,East of England,Central Bedfordshire,Undefined,Percentage (%),E06000056,33.0
2014/15,Long acting reversible contraceptives,,,East of England,Essex,Undefined,Percentage (%),,36.0
2014/15,Long acting reversible contraceptives,,,East of England,Hertfordshire,Undefined,Percentage (%),,36.0
2014/15,Long acting reversible contraceptives,,,East of England,Luton,Undefined,Percentage (%),E06000032,42.0
2014/15,Long acting reversible contraceptives,,,East of England,Norfolk,Undefined,Percentage (%),,41.0
2014/15,Long acting reversible contraceptives,,,East of England,Peterborough,Undefined,Percentage (%),E06000031,40.0
2014/15,Long acting reversible contraceptives,,,East of England,Southend-on-Sea,Undefined,Percentage (%),E06000033,24.0
2014/15,Long acting reversible contraceptives,,,East of England,Suffolk,Undefined,Percentage (%),,42.0
2014/15,Long acting reversible contraceptives,,,East of England,Thurrock,Undefined,Percentage (%),E06000034,49.0
2014/15,Long acting reversible contraceptives,,,London,,Undefined,Percentage (%),E12000007,32.0
