Year,Series,Country income classification,Aid description (CRS code),Observation status,Units,Value
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),85148.15
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),136996.88
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),907.82
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),1460.613
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),86055.97
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),138457.493
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),13313.18
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),21419.891
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),1.03
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),1.657
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),13314.21
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),21421.549
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),59797.06
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),96208.91
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),451.85
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),726.992
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),60248.91
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),96935.902
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),773.25
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),1244.1
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),773.25
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),1244.1
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),93685.34
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),150732.568
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),19628.48
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),31580.728
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),113313.82
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),182313.295
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),252716.98
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),406602.35
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),20989.18
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),33769.99
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),273706.16
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),440372.34
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),87597.07
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),139023.751
