Year,Series,Material category,Observation status,Unit multiplier,Units,Value
1990,Material footprint,,Normal value,Millions,Metric tons,1085.413
1991,Material footprint,,Normal value,Millions,Metric tons,1062.829
1992,Material footprint,,Normal value,Millions,Metric tons,965.168
1993,Material footprint,,Normal value,Millions,Metric tons,933.888
1994,Material footprint,,Normal value,Millions,Metric tons,927.691
1995,Material footprint,,Normal value,Millions,Metric tons,866.457
1996,Material footprint,,Normal value,Millions,Metric tons,941.921
1997,Material footprint,,Normal value,Millions,Metric tons,1145.467
1998,Material footprint,,Normal value,Millions,Metric tons,1331.521
1999,Material footprint,,Normal value,Millions,Metric tons,1393.502
2000,Material footprint,,Normal value,Millions,Metric tons,1365.742
2001,Material footprint,,Normal value,Millions,Metric tons,1427.904
2002,Material footprint,,Normal value,Millions,Metric tons,1344.47
2003,Material footprint,,Normal value,Millions,Metric tons,1309.612
2004,Material footprint,,Normal value,Millions,Metric tons,1464.399
2005,Material footprint,,Normal value,Millions,Metric tons,1365.497
2006,Material footprint,,Normal value,Millions,Metric tons,1352.15
2007,Material footprint,,Normal value,Millions,Metric tons,1302.617
2008,Material footprint,,Normal value,Millions,Metric tons,1156.109
2009,Material footprint,,Normal value,Millions,Metric tons,1012.619
2010,Material footprint,,Normal value,Millions,Metric tons,954.336
2011,Material footprint,,Normal value,Millions,Metric tons,964.866
2012,Material footprint,,Normal value,Millions,Metric tons,951.984
2013,Material footprint,,Normal value,Millions,Metric tons,1024.069
2014,Material footprint,,Normal value,Millions,Metric tons,1112.38
2015,Material footprint,,Normal value,Millions,Metric tons,1195.637
2016,Material footprint,,Normal value,Millions,Metric tons,1070.756
2017,Material footprint,,Normal value,Millions,Metric tons,970.509
2018,Material footprint,,Normal value,Millions,Metric tons,971.213
1990,Material footprint per capita,,Normal value,Units,Metric tons,19.0
1991,Material footprint per capita,,Normal value,Units,Metric tons,18.5
1992,Material footprint per capita,,Normal value,Units,Metric tons,16.8
1993,Material footprint per capita,,Normal value,Units,Metric tons,16.2
1994,Material footprint per capita,,Normal value,Units,Metric tons,16.0
1995,Material footprint per capita,,Normal value,Units,Metric tons,14.9
1996,Material footprint per capita,,Normal value,Units,Metric tons,16.2
1997,Material footprint per capita,,Normal value,Units,Metric tons,19.6
1998,Material footprint per capita,,Normal value,Units,Metric tons,22.8
1999,Material footprint per capita,,Normal value,Units,Metric tons,23.7
2000,Material footprint per capita,,Normal value,Units,Metric tons,23.2
2001,Material footprint per capita,,Normal value,Units,Metric tons,24.2
2002,Material footprint per capita,,Normal value,Units,Metric tons,22.6
2003,Material footprint per capita,,Normal value,Units,Metric tons,22.0
2004,Material footprint per capita,,Normal value,Units,Metric tons,24.4
2005,Material footprint per capita,,Normal value,Units,Metric tons,22.6
2006,Material footprint per capita,,Normal value,Units,Metric tons,22.2
2007,Material footprint per capita,,Normal value,Units,Metric tons,21.2
2008,Material footprint per capita,,Normal value,Units,Metric tons,18.7
2009,Material footprint per capita,,Normal value,Units,Metric tons,16.3
2010,Material footprint per capita,,Normal value,Units,Metric tons,15.2
2011,Material footprint per capita,,Normal value,Units,Metric tons,15.2
2012,Material footprint per capita,,Normal value,Units,Metric tons,14.9
2013,Material footprint per capita,,Normal value,Units,Metric tons,16.0
2014,Material footprint per capita,,Normal value,Units,Metric tons,17.2
2015,Material footprint per capita,,Normal value,Units,Metric tons,18.4
2016,Material footprint per capita,,Normal value,Units,Metric tons,16.3
2017,Material footprint per capita,,Normal value,Units,Metric tons,14.7
2018,Material footprint per capita,,Normal value,Units,Metric tons,14.6
1990,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.37388
1991,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39475
1992,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.36828
1993,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.35715
1994,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34624
1995,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.32308
1996,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3568
1997,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.41305
1998,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.46777
1999,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.47836
2000,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.46124
2001,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.47465
2002,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.44659
2003,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.431
2004,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.48311
2005,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.44937
2006,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.44546
2007,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.43057
2008,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39501
2009,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.36666
2010,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34398
2011,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.35049
2012,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34658
2013,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.37134
2014,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39893
2015,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.42166
2016,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.37921
2017,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34438
2018,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34802
1990,Material footprint per unit of GDP,,Definition differs,Units,Tons per GDP (millions of pounds),889.0
1991,Material footprint per unit of GDP,,Definition differs,Units,Tons per GDP (millions of pounds),880.0
