Year,Country,Energy category,Energy sub-category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,,,,Undefined,Units,Percentage (%),,0.443904014427
2015,,,,Undefined,Units,Percentage (%),,0.286408324716
2016,,,,Undefined,Units,Percentage (%),,0.44865758513400006
2014,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.331546229525
2014,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.0786802525571
2014,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.0706605022965
2014,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.09891928446489999
2014,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.00596062519372
2014,,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),,0.0761605337252
2014,,Low carbon heat,,Undefined,Units,Percentage (%),,0.0238966882766
2014,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.0018965625616400002
2014,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.022000125715000002
2014,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.0550003142875
2014,,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),,0.0545668142734
2014,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.00043350001408899995
2014,,Energy efficient products,,Undefined,Units,Percentage (%),,0.0254410320768
2014,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.00138178129491
2014,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.0209163756798
2014,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.0031157813512600004
2014,,Low carbon services,,Undefined,Units,Percentage (%),,0.0009482812808189999
2014,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.0009482812808189999
2014,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.00707146897982
2014,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.0069089064745399996
2014,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.000162562505283
2015,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.225971111912
2015,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.0376442035074
2015,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.070099754492
2015,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.08505683957059999
2015,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.006962324558689999
2015,,Low carbon heat,,Undefined,Units,Percentage (%),,0.00243548995969
2015,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.00015883630171899997
2015,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.0022766536579699997
2015,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.0300994791758
2015,,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),,0.0285640615925
2015,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.00153541758328
2015,,Energy efficient products,,Undefined,Units,Percentage (%),,0.0245666813326
2015,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.0041032711277399995
2015,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.0178161385095
2015,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.0026207989783600004
2015,,Low carbon services,,Undefined,Units,Percentage (%),,0.000344145320391
2015,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.000344145320391
2015,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.00299141701571
2015,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.00267374441227
2015,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.000291199886485
2016,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.37583772702299995
2016,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.13722543875
2016,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.131278310538
2016,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.07824758647880001
2016,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.00509011846991
2016,,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),,0.0
2016,,Low carbon heat,,Undefined,Units,Percentage (%),,0.006466528056159999
2016,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.00124655962528
2016,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.00521996843088
2016,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.0390588682589
