Year,Country,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013,,,"Rate per 1,000,000 population",Units,Undefined,,29.076998418899997
2014,,,"Rate per 1,000,000 population",Units,Undefined,,23.7163627050474
2015,,,"Rate per 1,000,000 population",Units,Undefined,,25.418509227011
2016,,,"Rate per 1,000,000 population",Units,Undefined,,23.519356720002605
2017,,,"Rate per 1,000,000 population",Units,Undefined,,23.4251156215706
2013,,Male,"Rate per 1,000,000 population",Units,Undefined,,22.1672385909361
2014,,Male,"Rate per 1,000,000 population",Units,Undefined,,17.2675436356174
2015,,Male,"Rate per 1,000,000 population",Units,Undefined,,17.3970274466167
2016,,Male,"Rate per 1,000,000 population",Units,Undefined,,17.8209219105733
2017,,Male,"Rate per 1,000,000 population",Units,Undefined,,18.3231123411502
2013,,Female,"Rate per 1,000,000 population",Units,Undefined,,35.7662212938082
2014,,Female,"Rate per 1,000,000 population",Units,Undefined,,29.966771331890303
2015,,Female,"Rate per 1,000,000 population",Units,Undefined,,33.2066124203204
2016,,Female,"Rate per 1,000,000 population",Units,Undefined,,29.064891954946102
2017,,Female,"Rate per 1,000,000 population",Units,Undefined,,28.393443947814802
2013,England,,"Rate per 1,000,000 population",Units,Undefined,E92000001,27.642762756202103
2014,England,,"Rate per 1,000,000 population",Units,Undefined,E92000001,23.0132148507478
2015,England,,"Rate per 1,000,000 population",Units,Undefined,E92000001,24.440404628695003
2016,England,,"Rate per 1,000,000 population",Units,Undefined,E92000001,22.725600300079197
2017,England,,"Rate per 1,000,000 population",Units,Undefined,E92000001,22.743850485342897
2013,England,Male,"Rate per 1,000,000 population",Units,Undefined,E92000001,21.3688347943724
2014,England,Male,"Rate per 1,000,000 population",Units,Undefined,E92000001,16.6584519830953
2015,England,Male,"Rate per 1,000,000 population",Units,Undefined,E92000001,17.4255435382199
2016,England,Male,"Rate per 1,000,000 population",Units,Undefined,E92000001,17.1789082565715
2017,England,Male,"Rate per 1,000,000 population",Units,Undefined,E92000001,17.6485231479303
2013,England,Female,"Rate per 1,000,000 population",Units,Undefined,E92000001,33.733540447027195
2014,England,Female,"Rate per 1,000,000 population",Units,Undefined,E92000001,29.1902727264607
2015,England,Female,"Rate per 1,000,000 population",Units,Undefined,E92000001,31.271344809412497
2016,England,Female,"Rate per 1,000,000 population",Units,Undefined,E92000001,28.140160310238198
2017,England,Female,"Rate per 1,000,000 population",Units,Undefined,E92000001,27.7201488913166
2013,Wales,,"Rate per 1,000,000 population",Units,Undefined,W92000004,49.636453530546795
2014,Wales,,"Rate per 1,000,000 population",Units,Undefined,W92000004,29.430446476043603
2015,Wales,,"Rate per 1,000,000 population",Units,Undefined,W92000004,35.494336071990205
2016,Wales,,"Rate per 1,000,000 population",Units,Undefined,W92000004,28.588407240255
2017,Wales,,"Rate per 1,000,000 population",Units,Undefined,W92000004,29.118462545177604
2013,Wales,Male,"Rate per 1,000,000 population",Units,Undefined,W92000004,38.2780929854074
2014,Wales,Male,"Rate per 1,000,000 population",Units,Undefined,W92000004,19.7197818992121
2015,Wales,Male,"Rate per 1,000,000 population",Units,Undefined,W92000004,19.0094004762838
2016,Wales,Male,"Rate per 1,000,000 population",Units,Undefined,W92000004,25.423099036660105
2017,Wales,Male,"Rate per 1,000,000 population",Units,Undefined,W92000004,24.672120503830598
2013,Wales,Female,"Rate per 1,000,000 population",Units,Undefined,W92000004,60.6182422624004
2014,Wales,Female,"Rate per 1,000,000 population",Units,Undefined,W92000004,38.835668460535004
2015,Wales,Female,"Rate per 1,000,000 population",Units,Undefined,W92000004,51.4767798414388
2016,Wales,Female,"Rate per 1,000,000 population",Units,Undefined,W92000004,31.663365233118302
