Year,Income/expenditure,Income group,Observation status,Unit multiplier,Unit measure,Value
2002/03-2007/08,Income,,Undefined,Units,Percentage (%),1.69
2003/04-2008/09,Income,,Undefined,Units,Percentage (%),1.0
2004/05-2009/10,Income,,Undefined,Units,Percentage (%),1.18
2005/06-2010/11,Income,,Undefined,Units,Percentage (%),0.76
2006/07-2011/12,Income,,Undefined,Units,Percentage (%),-0.84
2007/08-2012/13,Income,,Undefined,Units,Percentage (%),-1.11
2008/09-2013/14,Income,,Undefined,Units,Percentage (%),-0.65
2009/10-2014/15,Income,,Undefined,Units,Percentage (%),-0.15
2010/11-2015/16,Income,,Undefined,Units,Percentage (%),0.26
2011/12-2016/17,Income,,Undefined,Units,Percentage (%),2.22
2012/13-2017/18,Income,,Undefined,Units,Percentage (%),2.4
2002/03-2007/08,Expenditure,,Undefined,Units,Percentage (%),-0.2299999999999999
2003/04-2008/09,Expenditure,,Undefined,Units,Percentage (%),-0.8
2004/05-2009/10,Expenditure,,Undefined,Units,Percentage (%),-1.2
2005/06-2010/11,Expenditure,,Undefined,Units,Percentage (%),-0.8699999999999999
2006/07-2011/12,Expenditure,,Undefined,Units,Percentage (%),-2.15
2007/08-2012/13,Expenditure,,Undefined,Units,Percentage (%),-0.63
2008/09-2013/14,Expenditure,,Undefined,Units,Percentage (%),-0.5
2009/10-2014/15,Expenditure,,Undefined,Units,Percentage (%),0.45
2010/11-2015/16,Expenditure,,Undefined,Units,Percentage (%),-0.28
2011/12-2016/17,Expenditure,,Undefined,Units,Percentage (%),2.08
2012/13-2017/18,Expenditure,,Undefined,Units,Percentage (%),1.37
2002/03-2007/08,Income,Bottom 40%,Undefined,Units,Percentage (%),-0.07
2003/04-2008/09,Income,Bottom 40%,Undefined,Units,Percentage (%),-0.01
2004/05-2009/10,Income,Bottom 40%,Undefined,Units,Percentage (%),-0.16
2005/06-2010/11,Income,Bottom 40%,Undefined,Units,Percentage (%),0.39
2006/07-2011/12,Income,Bottom 40%,Undefined,Units,Percentage (%),0.14
2007/08-2012/13,Income,Bottom 40%,Undefined,Units,Percentage (%),-0.28
2008/09-2013/14,Income,Bottom 40%,Undefined,Units,Percentage (%),-0.15
2009/10-2014/15,Income,Bottom 40%,Undefined,Units,Percentage (%),0.11
2010/11-2015/16,Income,Bottom 40%,Undefined,Units,Percentage (%),1.7500000000000002
2011/12-2016/17,Income,Bottom 40%,Undefined,Units,Percentage (%),2.98
2012/13-2017/18,Income,Bottom 40%,Undefined,Units,Percentage (%),3.77
2002/03-2007/08,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),0.39
2003/04-2008/09,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-0.4099999999999999
2004/05-2009/10,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-1.45
2005/06-2010/11,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-0.32
2006/07-2011/12,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-1.32
2007/08-2012/13,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),0.0
2008/09-2013/14,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-0.38
2009/10-2014/15,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),0.66
2010/11-2015/16,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),-0.99
2011/12-2016/17,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),2.19
2012/13-2017/18,Expenditure,Bottom 40%,Undefined,Units,Percentage (%),0.66
