Year,Vaccine,Age,Country,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2009/10,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.1
2010/11,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.5
2011/12,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,95.0
2012/13,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,95.1
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.8
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.7
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.1
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.9
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.6
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,92.6
2009/10,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.5
2010/11,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.1
2011/12,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.6
2012/13,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.8
2013/14,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.5
2014/15,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.4
2015/16,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.0
2016/17,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.0
2017/18,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.8
2018/19,Pneumococcal disease (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.2
2016/17,Rotavirus (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,90.2
2017/18,Rotavirus (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,90.6
2018/19,Rotavirus (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,90.2
2017/18,Meningococcal group B (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,92.9
2018/19,Meningococcal group B (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,92.5
2009/10,Meningococcal group C (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.3
2010/11,Meningococcal group C (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,93.8
2011/12,Meningococcal group C (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.3
2012/13,Meningococcal group C (primary),By 1st birthday,,,Percentage (%),Units,Undefined,,94.3
2009/10,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,93.6
2010/11,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,94.2
2011/12,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,94.7
2012/13,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,94.7
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,94.3
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,94.2
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,93.6
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,93.4
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,93.1
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,92.1
2009/10,Pneumococcal disease (primary),By 1st birthday,England,,Percentage (%),Units,Undefined,E92000001,92.9
