Year,Sector,Country,Region,Age,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.0954928512929
2014,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.096248688236
2012,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.105680931056
2013,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.108015505327
2012,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.111521773239
2015,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.114216157141
2014,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.120336139479
2009,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.12550447286
2011,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.129728498967
2010,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.13399388415
2011,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.139034200243
2005,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.156078767589
2016,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.167330637439
2013,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.176283973868
2009,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.17694699325
2007,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.181998249675
2007,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.182231396822
2008,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.191452598139
2003,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.193852551707
2008,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.194164711024
2006,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.204507691853
2004,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.211276404984
2005,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.214155503763
2002,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.216076755749
2014,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.216584827715
2012,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.217202704295
2015,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.226978989332
2006,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.227084506511
2010,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.229486735442
2001,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.23654034102
2004,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.254161554768
