Year,Series,Age,Sex,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2002/03,Non-fatal injury,,,,,Accommodation and food service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4310.0
2002/03,Non-fatal injury,,,,,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3830.0
2002/03,Non-fatal injury,,,,,Administrative and support service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2820.0
2002/03,Non-fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 (3 year average)",Units,Estimated value,,4980.0
2002/03,Non-fatal injury,,,,,"Arts, entertainment and recreation",,"Rate per 100,000 (3 year average)",Units,Estimated value,,3670.0
2002/03,Non-fatal injury,,,,,Construction,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5070.0
2002/03,Non-fatal injury,,,,,"Electricity, gas, steam and air conditioning supply",,"Rate per 100,000 (3 year average)",Units,Estimated value,,2750.0
2002/03,Non-fatal injury,,,,,Education,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2610.0
2002/03,Non-fatal injury,,,,,Financial and insurance activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,890.0
2004/05,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.91
2002/03,Non-fatal injury,,,,,Human health and social work activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3450.0
2002/03,Non-fatal injury,,,,,Information and communication,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1320.0
2002/03,Non-fatal injury,,,,,Manufacturing,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4620.0
2002/03,Non-fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5340.0
2002/03,Non-fatal injury,,,,,Other service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2240.0
