Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2008,1.19654500332,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2009,1.14184161542,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2010,0.972599072703,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2011,1.10907748855,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2012,1.03563541065,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2013,0.768576479588,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2014,0.898435907773,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2015,0.834149732286,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2016,0.819641475791,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2017,0.800080115888,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
2018,0.5734881400093775,"Rate per 100,000 population","Hepatitis B incidence per 100,000 population",,Normal Value,Units
