Year,Value,Units,Series,Observation status,Unit multiplier,Unit measure
2016,93.5,Percentage (%),Proportion of population covered by at least one social protection benefit,Estimated value,Percentage (%),Percentage (%)
2020,93.5,Percentage (%),Proportion of population covered by at least one social protection benefit,Estimated value,Percentage (%),Percentage (%)
2016,100.0,Percentage (%),Proportion of children/households receiving child/family cash benefit,Estimated value,Percentage (%),Percentage (%)
2020,100.0,Percentage (%),Proportion of children/households receiving child/family cash benefit,Estimated value,Percentage (%),Percentage (%)
2016,100.0,Percentage (%),Proportion of population with severe disabilities receiving disability cash benefit,Estimated value,Percentage (%),Percentage (%)
2017,100.0,Percentage (%),Proportion of population with severe disabilities receiving disability cash benefit,Estimated value,Percentage (%),Percentage (%)
2020,100.0,Percentage (%),Proportion of population with severe disabilities receiving disability cash benefit,Estimated value,Percentage (%),Percentage (%)
2016,100.0,Percentage (%),Proportion of mothers with newborns receiving maternity cash benefit,Estimated value,Percentage (%),Percentage (%)
2020,100.0,Percentage (%),Proportion of mothers with newborns receiving maternity cash benefit,Estimated value,Percentage (%),Percentage (%)
2000,98.0,Percentage (%),Proportion of population above statutory pensionable age receiving a pension,Estimated value,Percentage (%),Percentage (%)
2013,100.0,Percentage (%),Proportion of population above statutory pensionable age receiving a pension,Estimated value,Percentage (%),Percentage (%)
2014,100.0,Percentage (%),Proportion of population above statutory pensionable age receiving a pension,Estimated value,Percentage (%),Percentage (%)
2020,100.0,Percentage (%),Proportion of population above statutory pensionable age receiving a pension,Estimated value,Percentage (%),Percentage (%)
2016,100.0,Percentage (%),Proportion of poor population receiving social assistance cash benefit,Estimated value,Percentage (%),Percentage (%)
2000,68.2,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2005,61.0,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2007,53.8,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2009,65.0,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2010,61.6,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2011,60.8,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2014,60.0,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2020,56.4,Percentage (%),Proportion of unemployed persons receiving unemployment cash benefit,Estimated value,Percentage (%),Percentage (%)
2016,76.6,Percentage (%),Proportion of vulnerable population receiving social assistance cash benefit,Estimated value,Percentage (%),Percentage (%)
2020,76.6,Percentage (%),Proportion of vulnerable population receiving social assistance cash benefit,Estimated value,Percentage (%),Percentage (%)
2019,68.0,Percentage (%),Proportion of employed population covered in the event of work injury,Estimated value,Percentage (%),Percentage (%)
