Year,Value,Units,Series,Observation status,Unit multiplier
2009,303.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2010,422.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2011,674.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2012,834.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2013,1256.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2014,2128.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2015,2710.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2016,3016.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2017,3975.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2018,5482.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2019,9330.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2020,9720.0,Number,Detected victims of human trafficking (Number),Normal value,Units
2021,11387.0,Number,Detected victims of human trafficking (Number),Normal value,Units
