Year,Value,Units,Series,Observation status,Unit multiplier
2000,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2001,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2002,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2003,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2004,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2005,100.0,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2006,99.99818,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2007,99.98605,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2008,99.97393,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2009,99.9618,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2010,99.94968,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2011,99.93754,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2012,99.92542,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2013,99.91329,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2014,99.90116,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2015,99.88904,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2016,99.87691,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2017,99.86478,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2018,99.85266,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2019,99.84053,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2020,99.82841,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2021,99.81627,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
2022,99.80415,Percentage (%),Percentage of population using safely managed drinking water services,Estimated value,Units
