Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2021,13.3,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2020,14.0,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2019,14.1,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2018,14.7,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2017,15.1,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2016,15.8,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2015,17.2,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2014,18.1,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2013,18.8,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2012,19.6,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
2011,20.2,Percentage (%),Percentage of people who are current cigarette smokers aged 18 years and older,,Normal value,Units
