Year,Value,Units,Observation status
2009,0.0383092219669738,Percentage (%),Undefined
2010,0.0435036828265206,Percentage (%),Undefined
2011,0.0579660850186043,Percentage (%),Undefined
2012,0.0568899351230382,Percentage (%),Undefined
2013,0.0732448191745466,Percentage (%),Undefined
2014,0.0590772334328358,Percentage (%),Undefined
2015,0.0508194278630209,Percentage (%),Undefined
2016,0.059928189332689,Percentage (%),Undefined
2017,0.0553934945829195,Percentage (%),Undefined
2018,0.044091223608538,Percentage (%),Undefined
2019,0.0448530032856082,Percentage (%),Undefined
