Year,Value,Units,Series,Observation status,Unit multiplier
1990,1069.0607,Metric tons,Material footprint,Normal value,Millions
1991,1052.5189999999998,Metric tons,Material footprint,Normal value,Millions
1992,972.9782,Metric tons,Material footprint,Normal value,Millions
1993,932.8615,Metric tons,Material footprint,Normal value,Millions
1994,919.5482,Metric tons,Material footprint,Normal value,Millions
1995,858.0148,Metric tons,Material footprint,Normal value,Millions
1996,880.1319,Metric tons,Material footprint,Normal value,Millions
1997,1130.4663,Metric tons,Material footprint,Normal value,Millions
1998,1237.3619,Metric tons,Material footprint,Normal value,Millions
1999,1316.2805,Metric tons,Material footprint,Normal value,Millions
2000,1278.0017,Metric tons,Material footprint,Normal value,Millions
2001,1377.3076999999998,Metric tons,Material footprint,Normal value,Millions
2002,1500.87,Metric tons,Material footprint,Normal value,Millions
2003,1540.8267,Metric tons,Material footprint,Normal value,Millions
2004,1525.9906,Metric tons,Material footprint,Normal value,Millions
2005,1505.8167,Metric tons,Material footprint,Normal value,Millions
2006,1447.6564,Metric tons,Material footprint,Normal value,Millions
2007,1394.5046000000002,Metric tons,Material footprint,Normal value,Millions
2008,1259.6047,Metric tons,Material footprint,Normal value,Millions
2009,1102.9598,Metric tons,Material footprint,Normal value,Millions
2010,1055.3853,Metric tons,Material footprint,Normal value,Millions
2011,1103.6748,Metric tons,Material footprint,Normal value,Millions
2012,1080.8221999999998,Metric tons,Material footprint,Normal value,Millions
2013,1098.9078,Metric tons,Material footprint,Normal value,Millions
2014,1217.3451,Metric tons,Material footprint,Normal value,Millions
2015,1238.5047,Metric tons,Material footprint,Normal value,Millions
2016,1055.4292,Metric tons,Material footprint,Normal value,Millions
2017,1001.794,Metric tons,Material footprint,Normal value,Millions
2018,1089.9529,Metric tons,Material footprint,Normal value,Millions
2019,1071.8744,Metric tons,Material footprint,Normal value,Millions
1990,18.9,Metric tons,Material footprint per capita,Normal value,Units
1991,18.9,Metric tons,Material footprint per capita,Normal value,Units
1992,17.4,Metric tons,Material footprint per capita,Normal value,Units
1993,16.6,Metric tons,Material footprint per capita,Normal value,Units
1994,16.4,Metric tons,Material footprint per capita,Normal value,Units
1995,15.2,Metric tons,Material footprint per capita,Normal value,Units
1996,15.6,Metric tons,Material footprint per capita,Normal value,Units
1997,20.0,Metric tons,Material footprint per capita,Normal value,Units
1998,21.8,Metric tons,Material footprint per capita,Normal value,Units
1999,23.1,Metric tons,Material footprint per capita,Normal value,Units
2000,22.3,Metric tons,Material footprint per capita,Normal value,Units
2001,24.0,Metric tons,Material footprint per capita,Normal value,Units
2002,26.0,Metric tons,Material footprint per capita,Normal value,Units
2003,26.6,Metric tons,Material footprint per capita,Normal value,Units
2004,26.2,Metric tons,Material footprint per capita,Normal value,Units
2005,25.7,Metric tons,Material footprint per capita,Normal value,Units
2006,24.5,Metric tons,Material footprint per capita,Normal value,Units
2007,23.4,Metric tons,Material footprint per capita,Normal value,Units
2008,21.0,Metric tons,Material footprint per capita,Normal value,Units
2009,18.2,Metric tons,Material footprint per capita,Normal value,Units
2010,17.3,Metric tons,Material footprint per capita,Normal value,Units
2011,18.0,Metric tons,Material footprint per capita,Normal value,Units
2012,17.5,Metric tons,Material footprint per capita,Normal value,Units
2013,17.6,Metric tons,Material footprint per capita,Normal value,Units
2014,19.4,Metric tons,Material footprint per capita,Normal value,Units
2015,19.6,Metric tons,Material footprint per capita,Normal value,Units
2016,16.5,Metric tons,Material footprint per capita,Normal value,Units
2017,15.6,Metric tons,Material footprint per capita,Normal value,Units
2018,16.9,Metric tons,Material footprint per capita,Normal value,Units
2019,16.5,Metric tons,Material footprint per capita,Normal value,Units
1990,0.337947860381917,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1991,0.3592483730986227,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1992,0.3416238139484849,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1993,0.3287585384064081,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1994,0.3166675843222974,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1995,0.2954852646768869,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1996,0.3083368190708564,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1997,0.3759487673923614,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1998,0.4031212450344737,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1999,0.4207250010163474,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2000,0.4013251761140376,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2001,0.4288080021239095,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2002,0.4667500367566392,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2003,0.4764640846528339,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2004,0.4731855352234515,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2005,0.4677472079396321,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2006,0.4503578377328964,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2007,0.4356704315820908,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2008,0.4073657037592263,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2009,0.3783943567252013,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2010,0.3595975276179594,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2011,0.3789904441886162,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2012,0.3718073732728834,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2013,0.3782236079529146,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2014,0.4138048575714359,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2015,0.4133818852675739,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2016,0.3528947943862509,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2017,0.3352195596785104,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2018,0.3674079683393077,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
2019,0.3633829283498381,Kilograms per constant USD,Material footprint per unit of GDP,Normal value,Units
1990,875.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1991,871.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1992,802.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1993,750.9,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1994,712.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1995,648.6,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1996,649.2,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1997,794.3,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1998,838.3,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
1999,863.3,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2000,809.8,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2001,849.6,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2002,906.0,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2003,900.2,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2004,871.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2005,835.4,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2006,782.1,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2007,736.0,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2008,666.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2009,608.8,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2010,570.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2011,589.3,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2012,569.0,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2013,566.1,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2014,609.7,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2015,605.9,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2016,507.6,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2017,473.6,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2018,508.9,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
2019,493.4,Tons per GDP (millions of pounds),Material footprint per unit of GDP,Definition differs,Units
