Year,Value,Units,Series,Observation status,Unit multiplier
2009,273706.16,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2010,324857.4027,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2011,490791.755095,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2012,557455.155661,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2013,817519.83779,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2014,652950.029878,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2015,543329.123967,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2016,593232.218841,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2017,767594.845852,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2018,779790.792588,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2019,822382.885975,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2020,1110232.546981,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2009,417238.5008358249,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2010,487382.5057143184,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2011,721419.01507683,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2012,806060.6463024257,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2013,1161426.22764845,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2014,911839.8585491376,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2015,753771.3231452415,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2016,805670.9664726112,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2017,1022654.1996598408,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2018,1016045.5836710364,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2019,1049493.2184469118,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
2020,1337595.1856000428,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value,Thousands
