Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2000,3.476202364,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2001,3.45778330799999,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2002,3.26788154,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2003,2.884131912,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2004,2.762285146,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2005,2.901680088,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2006,2.883584704,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2007,2.522869107,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2008,2.215976081,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2009,2.401201944,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2010,2.802764893,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2011,2.643590372,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2012,2.161524765,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2013,2.341447137,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2014,2.455231805,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2015,2.150206219,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2016,2.464657978,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2017,2.713497556,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2018,2.533282256261896,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2019,2.5734763040395032,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2014,2.449039543,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2015,2.136383464,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2016,2.457041606,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2017,2.692298357,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2018,2.525756165185657,"Rate per 100,000 population","Rate per 100,000 population",,Normal value,Units
2000,2047.0,Number,Number of cases,,Normal value,Units
2001,2044.0,Number,Number of cases,,Normal value,Units
2002,1940.0,Number,Number of cases,,Normal value,Units
2003,1720.0,Number,Number of cases,,Normal value,Units
2004,1656.0,Number,Number of cases,,Normal value,Units
2005,1753.0,Number,Number of cases,,Normal value,Units
2006,1754.0,Number,Number of cases,,Normal value,Units
2007,1547.0,Number,Number of cases,,Normal value,Units
2008,1370.0,Number,Number of cases,,Normal value,Units
2009,1495.0,Number,Number of cases,,Normal value,Units
2010,1759.0,Number,Number of cases,,Normal value,Units
2011,1673.0,Number,Number of cases,,Normal value,Units
2012,1377.0,Number,Number of cases,,Normal value,Units
2013,1501.0,Number,Number of cases,,Normal value,Units
2014,1586.0,Number,Number of cases,,Normal value,Units
2015,1400.0,Number,Number of cases,,Normal value,Units
2016,1618.0,Number,Number of cases,,Normal value,Units
2017,1792.0,Number,Number of cases,,Normal value,Units
2018,1683.0,Number,Number of cases,,Normal value,Units
2019,1719.0,Number,Number of cases,,Normal value,Units
2014,1582.0,Number,Number of cases,,Normal value,Units
2015,1391.0,Number,Number of cases,,Normal value,Units
2016,1613.0,Number,Number of cases,,Normal value,Units
2017,1778.0,Number,Number of cases,,Normal value,Units
2018,1678.0,Number,Number of cases,,Normal value,Units
