Year,Value,Units,Observation status,Unit multiplier
2009,7300976.23729,GBP (£ thousands),Definition differs,Thousands
2010,8528781.042926,GBP (£ thousands),Definition differs,Thousands
2011,8628623.087848,GBP (£ thousands),Definition differs,Thousands
2012,8801919.047428,GBP (£ thousands),Definition differs,Thousands
2013,11406860.450048,GBP (£ thousands),Definition differs,Thousands
2014,11700471.985494,GBP (£ thousands),Definition differs,Thousands
2015,12135596.438392,GBP (£ thousands),Definition differs,Thousands
2016,13377131.388472,GBP (£ thousands),Definition differs,Thousands
2017,14051283.26613,GBP (£ thousands),Definition differs,Thousands
2018,14542075.879546,GBP (£ thousands),Definition differs,Thousands
2019,15176498.042114,GBP (£ thousands),Definition differs,Thousands
2020,14478645.748766,GBP (£ thousands),Definition differs,Thousands
2009,9368612.707690528,USD ($ thousands),Definition differs,Thousands
2010,10944131.834282642,USD ($ thousands),Definition differs,Thousands
2011,11072249.146326551,USD ($ thousands),Definition differs,Thousands
2012,11294622.521659609,USD ($ thousands),Definition differs,Thousands
2013,14637283.329501592,USD ($ thousands),Definition differs,Thousands
2014,15014045.6517859,USD ($ thousands),Definition differs,Thousands
2015,15572397.349744614,USD ($ thousands),Definition differs,Thousands
2016,17165534.99768727,USD ($ thousands),Definition differs,Thousands
2017,18030606.68709801,USD ($ thousands),Definition differs,Thousands
2018,18660391.768633425,USD ($ thousands),Definition differs,Thousands
2019,19474482.287640683,USD ($ thousands),Definition differs,Thousands
2020,18578998.224816527,USD ($ thousands),Definition differs,Thousands
