Year,Value,Units,Series,Observation status,Unit multiplier
1970,0.36,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1971,0.4,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1972,0.38,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1973,0.34,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1974,0.4,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1975,0.39,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1976,0.39,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1977,0.44,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1978,0.46,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1979,0.51,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1980,0.35,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1981,0.43,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1982,0.37,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1983,0.35,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1984,0.33,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1985,0.33,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1986,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1987,0.28,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1988,0.32,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1989,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1990,0.27,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1991,0.32,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1992,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1993,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1994,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1995,0.29,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1996,0.27,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1997,0.26,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1998,0.27,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
1999,0.24,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2000,0.32,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2001,0.32,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2002,0.31,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2003,0.34,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2004,0.36,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2005,0.47,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2006,0.51,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2007,0.36,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2008,0.43,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2009,0.51,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2010,0.57,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2011,0.56,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2012,0.56,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2013,0.7,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2014,0.7,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2015,0.7,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2016,0.7001138524817396,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2017,0.698487094133099,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2018,0.695432929606952,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2019,0.703284457691932,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2020,0.698060841283564,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2021,0.50391698260432,Percentage (%),Net official development assistance (ODA) as a percentage of GNI,Normal value,Units
2012,0.1228521376185441,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2013,0.1398796900804018,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2014,0.1379513802813589,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2015,0.1453955703972598,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2016,0.1231643146305515,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2017,0.1280976661762621,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2018,0.1143002118764276,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2019,0.1256368555462201,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2020,0.1106488547123132,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
2021,0.060830649445355,Percentage (%),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units
