Year,Value,Observation status,Unit multiplier,Unit measure
2005,11.8,Undefined,Units,Percentage (%)
2006,11.8,Undefined,Units,Percentage (%)
2007,11.2,Undefined,Units,Percentage (%)
2008,11.3,Undefined,Units,Percentage (%)
2009,10.2,Undefined,Units,Percentage (%)
2010,9.9,Undefined,Units,Percentage (%)
2011,9.4,Undefined,Units,Percentage (%)
2012,9.2,Undefined,Units,Percentage (%)
2013,9.0,Undefined,Units,Percentage (%)
2014,9.5,Undefined,Units,Percentage (%)
2015,9.7,Undefined,Units,Percentage (%)
2016,9.9,Undefined,Units,Percentage (%)
2017,9.7,Undefined,Units,Percentage (%)
2018,11.3,Undefined,Units,Percentage (%)
