Year,Value,Observation status,Unit multiplier,Unit measure
2000,100.0,Undefined,Units,Percentage (%)
2001,100.0,Undefined,Units,Percentage (%)
2002,100.0,Undefined,Units,Percentage (%)
2003,100.0,Undefined,Units,Percentage (%)
2004,100.0,Undefined,Units,Percentage (%)
2005,100.0,Undefined,Units,Percentage (%)
2006,100.0,Undefined,Units,Percentage (%)
2007,100.0,Undefined,Units,Percentage (%)
2008,100.0,Undefined,Units,Percentage (%)
2009,100.0,Undefined,Units,Percentage (%)
2010,100.0,Undefined,Units,Percentage (%)
2011,100.0,Undefined,Units,Percentage (%)
2012,100.0,Undefined,Units,Percentage (%)
2013,100.0,Undefined,Units,Percentage (%)
2014,100.0,Undefined,Units,Percentage (%)
2015,100.0,Undefined,Units,Percentage (%)
2016,100.0,Undefined,Units,Percentage (%)
