Year,Value,Units,Series,Observation status,Unit multiplier
2011,48803.41,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2011,78235.668,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2009,22977.32,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2009,35890.847,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2010,34157.36,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2010,52752.68,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2012,24058.52,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2012,38121.566,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2013,46013.87,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2013,71941.635,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2014,12893.97,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2014,21228.136,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2015,27808.31,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2015,42487.869,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2016,24823.03,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2016,33499.366,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2017,24666.759,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2017,31762.502,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2018,26642.772,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2018,35537.911,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2019,18388.652,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2019,23466.887,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2020,8597.622,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2020,11026.833,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2021,6683.592,GBP (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
2021,9193.387,USD (thousands),Value of all resources made available to strengthen statistical capacity in developing countries,Normal value,Thousands
